"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"22/09/2025","25,350.0","25,450.0","25,450.0","25,300.0","2.11M","0.00%"
"19/09/2025","25,350.0","25,800.0","25,800.0","25,300.0","13.43M","-0.78%"
"18/09/2025","25,550.0","26,200.0","26,200.0","25,550.0","21.85M","-2.29%"
"17/09/2025","26,150.0","26,400.0","26,450.0","26,050.0","13.05M","-0.95%"
"16/09/2025","26,400.0","26,600.0","26,600.0","26,200.0","40.11M","0.00%"
"15/09/2025","26,400.0","26,300.0","26,650.0","26,100.0","27.90M","0.38%"
"12/09/2025","26,300.0","26,550.0","26,650.0","26,200.0","12.22M","0.38%"
"11/09/2025","26,200.0","26,500.0","26,550.0","25,800.0","20.45M","-1.32%"
"10/09/2025","26,550.0","26,700.0","26,850.0","26,450.0","14.09M","0.00%"
"09/09/2025","26,550.0","26,950.0","26,950.0","26,450.0","15.20M","0.00%"
"08/09/2025","26,550.0","27,000.0","27,600.0","26,550.0","26.15M","-2.21%"
"05/09/2025","27,150.0","27,950.0","28,050.0","27,150.0","23.54M","-1.81%"
"04/09/2025","27,650.0","27,600.0","27,750.0","27,400.0","11.28M","0.55%"
"03/09/2025","27,500.0","27,700.0","27,750.0","27,200.0","18.72M","-1.08%"
"29/08/2025","27,800.0","27,750.0","28,400.0","27,500.0","21.63M","0.91%"
"28/08/2025","27,550.0","27,800.0","28,150.0","27,100.0","13.93M","-0.36%"
"27/08/2025","27,650.0","27,800.0","28,600.0","27,550.0","18.83M","1.10%"
"26/08/2025","27,350.0","26,250.0","27,400.0","26,100.0","20.81M","4.39%"
"25/08/2025","26,200.0","28,200.0","28,400.0","25,950.0","37.41M","-5.92%"
"22/08/2025","27,850.0","29,000.0","29,400.0","27,650.0","43.01M","-5.43%"
"21/08/2025","29,450.0","28,300.0","29,500.0","28,000.0","45.80M","5.18%"
"20/08/2025","28,000.0","28,500.0","28,500.0","26,900.0","33.27M","-1.58%"
"19/08/2025","28,450.0","27,050.0","28,700.0","27,000.0","41.18M","5.18%"
"18/08/2025","27,050.0","26,800.0","27,500.0","26,350.0","28.48M","1.88%"
"15/08/2025","26,550.0","27,300.0","27,600.0","26,350.0","29.32M","1.34%"
"14/08/2025","26,200.0","24,750.0","26,200.0","24,700.0","34.89M","6.94%"
"13/08/2025","24,500.0","24,400.0","24,650.0","24,150.0","19.29M","1.03%"
"12/08/2025","24,250.0","24,500.0","24,550.0","24,100.0","14.63M","-0.61%"
"11/08/2025","24,400.0","24,300.0","24,700.0","24,250.0","16.06M","0.62%"
"08/08/2025","24,250.0","24,500.0","24,800.0","24,000.0","15.79M","-0.61%"
"07/08/2025","24,400.0","24,400.0","24,650.0","24,100.0","19.10M","0.83%"
"06/08/2025","24,200.0","23,700.0","24,400.0","23,700.0","16.25M","3.20%"
"05/08/2025","23,450.0","23,500.0","24,500.0","23,300.0","42.32M","0.64%"
"04/08/2025","23,300.0","23,000.0","23,300.0","22,800.0","11.14M","1.30%"
"01/08/2025","23,000.0","23,000.0","23,050.0","22,800.0","7.32M","0.00%"
"31/07/2025","23,000.0","23,200.0","23,250.0","22,700.0","10.61M","0.00%"
"30/07/2025","23,000.0","22,750.0","23,100.0","22,700.0","15.00M","1.10%"
"29/07/2025","22,750.0","23,900.0","23,950.0","22,750.0","34.03M","-4.61%"
"28/07/2025","23,850.0","23,700.0","23,850.0","23,500.0","16.87M","1.06%"
"25/07/2025","23,600.0","23,450.0","23,700.0","23,450.0","17.56M","1.72%"
"24/07/2025","23,200.0","23,150.0","23,500.0","23,100.0","15.17M","0.87%"
"23/07/2025","23,000.0","23,050.0","23,150.0","22,900.0","15.20M","0.44%"
"22/07/2025","22,900.0","22,850.0","22,900.0","22,600.0","12.04M","0.22%"
"21/07/2025","22,850.0","22,700.0","23,100.0","22,650.0","17.14M","0.88%"
"18/07/2025","22,650.0","22,500.0","22,750.0","22,400.0","17.84M","0.89%"
"17/07/2025","22,450.0","22,450.0","22,550.0","22,400.0","15.11M","0.00%"
