"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"22/09/2025","67,700","68,000","68,900","67,700","38.10K","-1.74%"
"19/09/2025","68,900","69,000","69,000","68,000","219.80K","-0.43%"
"18/09/2025","69,200","69,700","69,700","68,100","294.90K","-0.72%"
"17/09/2025","69,700","68,800","70,000","68,400","448.80K","1.01%"
"16/09/2025","69,000","69,100","69,400","67,600","499.30K","0.29%"
"15/09/2025","68,800","67,600","69,000","66,900","510.30K","2.84%"
"12/09/2025","66,900","66,600","67,800","66,600","211.50K","-1.04%"
"11/09/2025","67,600","67,000","67,600","65,000","378.70K","0.15%"
"10/09/2025","67,500","67,900","67,900","66,600","152.50K","-0.59%"
"09/09/2025","67,900","66,400","67,900","65,600","356.60K","1.49%"
"08/09/2025","66,900","67,500","67,500","66,400","309.70K","-1.18%"
"05/09/2025","67,700","67,700","69,400","67,500","744.80K","0.00%"
"04/09/2025","67,700","67,500","67,900","67,400","283.30K","-0.15%"
"03/09/2025","67,800","67,000","67,800","66,400","430.90K","1.19%"
"29/08/2025","67,000","67,700","67,800","66,500","614.90K","-1.47%"
"28/08/2025","68,000","67,500","68,000","66,600","595.00K","0.15%"
"27/08/2025","67,900","68,000","68,300","67,000","413.10K","-1.59%"
"26/08/2025","69,000","64,600","69,000","64,000","422.80K","6.15%"
"25/08/2025","65,000","66,500","67,200","65,000","399.70K","-2.26%"
"22/08/2025","66,500","68,500","68,900","66,500","484.10K","-4.86%"
"21/08/2025","69,900","70,400","70,700","68,900","478.40K","-0.85%"
"20/08/2025","70,500","70,400","71,000","68,600","649.00K","0.00%"
"19/08/2025","70,500","70,000","70,500","69,600","609.20K","0.71%"
"18/08/2025","70,000","70,100","70,500","69,400","382.60K","-0.28%"
"15/08/2025","70,200","70,800","71,100","69,000","529.90K","-0.43%"
"14/08/2025","70,500","71,100","71,800","69,900","846.00K","-0.70%"
"13/08/2025","71,000","71,200","72,000","70,000","843.70K","-0.70%"
"12/08/2025","71,500","71,400","71,600","70,000","662.30K","1.13%"
"11/08/2025","70,700","70,900","72,900","69,500","1.21M","0.14%"
"08/08/2025","70,600","70,600","70,900","69,500","547.00K","0.00%"
"07/08/2025","70,600","70,500","71,800","69,800","786.60K","1.29%"
"06/08/2025","69,700","69,200","69,700","68,400","633.50K","1.16%"
"05/08/2025","68,900","71,000","71,500","68,000","919.80K","-2.96%"
"04/08/2025","71,000","69,900","71,000","68,900","799.00K","1.57%"
"01/08/2025","69,900","71,700","71,900","69,500","456.60K","-2.51%"
"31/07/2025","71,700","73,000","73,000","69,600","1.80M","3.91%"
"30/07/2025","69,000","67,700","69,200","67,100","504.20K","1.32%"
"29/07/2025","68,100","69,900","69,900","66,700","960.20K","-2.30%"
"28/07/2025","69,700","69,900","69,900","68,500","1.37M","-0.14%"
"25/07/2025","69,800","69,900","70,200","69,300","620.10K","-0.14%"
"24/07/2025","69,900","69,400","70,900","69,000","902.70K","1.01%"
"23/07/2025","69,200","68,500","69,900","67,600","822.10K","1.47%"
"22/07/2025","68,200","66,700","68,200","66,200","359.30K","2.10%"
"21/07/2025","66,800","68,000","68,000","66,700","374.20K","-1.33%"
"18/07/2025","67,700","67,600","69,100","67,300","587.50K","0.59%"
"17/07/2025","67,300","67,700","68,400","67,000","358.50K","0.30%"
"16/07/2025","67,100","66,900","67,400","66,700","306.60K","0.15%"
"15/07/2025","67,000","68,600","68,600","67,000","424.90K","-2.19%"
"14/07/2025","68,500","68,200","68,500","66,000","666.70K","0.74%"
"11/07/2025","68,000","68,500","68,600","67,800","514.50K","-0.87%"
"10/07/2025","68,600","68,600","69,100","68,000","567.70K","0.00%"
"09/07/2025","68,600","67,500","68,600","67,000","803.60K","1.63%"
"08/07/2025","67,500","67,000","67,500","66,300","700.40K","2.27%"
"07/07/2025","66,000","66,400","66,400","65,000","592.00K","0.76%"
"04/07/2025","65,500","66,400","66,400","64,500","595.20K","-1.36%"
"03/07/2025","66,400","66,000","67,100","63,500","1.61M","-2.64%"
"02/07/2025","68,200","64,500","68,800","64,000","1.41M","5.74%"
"01/07/2025","64,500","64,600","64,800","62,800","967.50K","0.47%"
"30/06/2025","64,200","63,100","64,200","63,100","626.30K","1.90%"
"27/06/2025","63,000","62,100","63,000","61,800","742.50K","1.45%"
"26/06/2025","62,100","61,900","62,100","61,200","492.40K","0.49%"
"25/06/2025","61,800","61,800","61,800","61,200","599.30K","0.49%"
"24/06/2025","61,500","60,600","61,500","60,300","1.08M","2.33%"
"23/06/2025","60,100","58,600","60,600","58,200","594.70K","2.56%"
"20/06/2025","58,600","59,000","59,500","58,400","341.00K","-0.68%"
"19/06/2025","59,000","59,400","59,600","58,400","375.30K","-0.67%"
"18/06/2025","59,400","59,300","59,900","58,800","383.70K","0.17%"
"17/06/2025","59,300","60,100","60,200","58,900","447.10K","-0.34%"
"16/06/2025","59,500","58,600","59,600","58,600","362.60K","0.00%"
"13/06/2025","59,500","58,300","59,500","57,500","592.60K","0.51%"
"12/06/2025","59,200","59,800","59,800","58,800","351.00K","1.20%"
"11/06/2025","58,500","59,400","59,400","58,300","464.30K","-1.35%"
"10/06/2025","59,300","60,200","60,200","59,100","372.10K","-0.67%"
