"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"22/09/2025","40,050.0","40,200.0","40,500.0","40,050.0","795.90K","0.63%"
"19/09/2025","39,800.0","41,100.0","41,200.0","39,800.0","6.16M","-2.45%"
"18/09/2025","40,800.0","41,000.0","41,450.0","40,550.0","4.68M","-0.49%"
"17/09/2025","41,000.0","42,000.0","42,400.0","41,000.0","3.70M","-2.50%"
"16/09/2025","42,050.0","42,500.0","42,700.0","42,000.0","7.34M","-0.36%"
"15/09/2025","42,200.0","41,050.0","42,200.0","41,050.0","7.33M","3.05%"
"12/09/2025","40,950.0","40,800.0","41,250.0","40,800.0","3.32M","0.74%"
"11/09/2025","40,650.0","40,800.0","40,800.0","39,850.0","5.78M","-0.12%"
"10/09/2025","40,700.0","40,700.0","41,350.0","40,550.0","5.47M","0.12%"
"09/09/2025","40,650.0","40,650.0","41,000.0","40,350.0","4.25M","0.00%"
"08/09/2025","40,650.0","41,700.0","41,850.0","40,650.0","9.07M","-3.10%"
"05/09/2025","41,950.0","43,600.0","43,600.0","41,950.0","13.56M","-3.34%"
"04/09/2025","43,400.0","43,750.0","43,950.0","43,150.0","7.24M","-0.23%"
"03/09/2025","43,500.0","43,100.0","43,900.0","42,050.0","11.35M","1.52%"
"29/08/2025","42,850.0","42,700.0","43,600.0","42,500.0","10.43M","0.82%"
"28/08/2025","42,500.0","43,050.0","43,250.0","42,250.0","5.84M","-0.70%"
"27/08/2025","42,800.0","42,150.0","44,500.0","41,850.0","14.87M","2.39%"
"26/08/2025","41,800.0","41,000.0","41,850.0","40,550.0","11.17M","1.95%"
"25/08/2025","41,000.0","43,900.0","43,900.0","41,000.0","11.31M","-5.20%"
"22/08/2025","43,250.0","42,400.0","45,100.0","41,950.0","22.73M","2.25%"
"21/08/2025","42,300.0","41,000.0","42,600.0","40,900.0","17.32M","3.93%"
"20/08/2025","40,700.0","41,000.0","41,850.0","39,600.0","14.54M","-0.37%"
"19/08/2025","40,850.0","40,900.0","41,500.0","40,700.0","9.92M","0.12%"
"18/08/2025","40,800.0","41,050.0","41,300.0","40,600.0","7.51M","-0.49%"
"15/08/2025","41,000.0","42,600.0","42,600.0","40,700.0","14.37M","-2.73%"
"14/08/2025","42,150.0","41,600.0","42,650.0","41,150.0","15.17M","1.93%"
"13/08/2025","41,350.0","41,800.0","41,800.0","40,300.0","11.84M","-0.36%"
"12/08/2025","41,500.0","40,500.0","41,950.0","40,450.0","15.35M","3.23%"
"11/08/2025","40,200.0","40,000.0","40,600.0","39,600.0","11.39M","1.26%"
"08/08/2025","39,700.0","41,000.0","41,000.0","39,350.0","16.73M","-1.85%"
"07/08/2025","40,450.0","39,700.0","40,500.0","39,500.0","12.28M","2.41%"
"06/08/2025","39,500.0","39,000.0","39,900.0","38,950.0","6.98M","1.94%"
"05/08/2025","38,750.0","38,400.0","40,200.0","38,200.0","28.54M","1.84%"
"04/08/2025","38,050.0","37,200.0","38,250.0","37,200.0","4.47M","2.28%"
"01/08/2025","37,200.0","37,850.0","38,300.0","37,100.0","7.12M","-1.72%"
"31/07/2025","37,850.0","38,500.0","38,500.0","37,500.0","6.29M","-0.66%"
"30/07/2025","38,100.0","37,400.0","38,800.0","37,300.0","9.31M","1.87%"
"29/07/2025","37,400.0","39,650.0","39,650.0","37,400.0","15.40M","-5.08%"
"28/07/2025","39,400.0","39,100.0","39,800.0","38,900.0","11.06M","1.42%"
"25/07/2025","38,850.0","39,100.0","39,100.0","38,750.0","6.29M","0.00%"
"24/07/2025","38,850.0","39,000.0","39,650.0","38,700.0","10.95M","0.39%"
"23/07/2025","38,700.0","39,100.0","39,200.0","38,550.0","6.98M","-0.51%"
"22/07/2025","38,900.0","38,050.0","39,300.0","38,000.0","10.82M","2.10%"
"21/07/2025","38,100.0","38,450.0","38,650.0","38,050.0","6.20M","-0.65%"
"18/07/2025","38,350.0","38,300.0","38,800.0","38,000.0","9.04M","0.13%"
"17/07/2025","38,300.0","38,800.0","38,800.0","38,150.0","5.68M","-0.26%"
"16/07/2025","38,400.0","37,900.0","38,400.0","37,850.0","7.12M","0.79%"
"15/07/2025","38,100.0","38,600.0","38,750.0","38,100.0","5.79M","-1.42%"
"14/07/2025","38,650.0","38,500.0","39,350.0","38,300.0","8.31M","0.91%"
"11/07/2025","38,300.0","38,250.0","38,650.0","38,150.0","8.71M","0.13%"
"10/07/2025","38,250.0","38,500.0","38,700.0","38,050.0","7.73M","0.13%"
"09/07/2025","38,200.0","37,650.0","38,450.0","37,500.0","11.14M","1.87%"
"08/07/2025","37,500.0","37,200.0","37,500.0","37,000.0","7.36M","0.81%"
"07/07/2025","37,200.0","36,650.0","37,200.0","36,650.0","11.24M","1.78%"
"04/07/2025","36,550.0","36,450.0","36,700.0","36,300.0","3.91M","0.69%"
"03/07/2025","36,300.0","36,500.0","36,800.0","36,150.0","6.06M","-0.27%"
"02/07/2025","36,400.0","36,600.0","36,650.0","36,300.0","3.80M","-0.55%"
"01/07/2025","36,600.0","36,350.0","36,850.0","36,250.0","7.01M","0.83%"
"30/06/2025","36,300.0","36,350.0","36,350.0","36,200.0","4.55M","0.55%"
"27/06/2025","36,100.0","35,700.0","36,650.0","35,700.0","8.30M","1.12%"
"26/06/2025","35,700.0","35,900.0","35,950.0","35,600.0","2.34M","-0.42%"
"25/06/2025","35,850.0","36,050.0","36,250.0","35,850.0","3.40M","-0.42%"
