"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"22/09/2025","96,800.0","96,900.0","97,400.0","96,700.0","274.70K","0.10%"
"19/09/2025","96,700.0","99,000.0","99,800.0","96,700.0","2.01M","-2.13%"
"18/09/2025","98,800.0","100,200.0","100,300.0","98,200.0","1.54M","-1.00%"
"17/09/2025","99,800.0","100,000.0","103,000.0","99,700.0","4.11M","-0.20%"
"16/09/2025","100,000.0","99,900.0","101,400.0","99,500.0","3.24M","0.50%"
"15/09/2025","99,500.0","98,300.0","99,800.0","97,600.0","2.43M","2.05%"
"12/09/2025","97,500.0","97,000.0","98,200.0","96,000.0","1.97M","0.52%"
"11/09/2025","97,000.0","96,000.0","97,000.0","94,000.0","1.71M","1.15%"
"10/09/2025","95,900.0","96,000.0","96,400.0","95,600.0","783.80K","0.31%"
"09/09/2025","95,600.0","96,300.0","96,500.0","95,300.0","1.42M","-0.62%"
"08/09/2025","96,200.0","97,700.0","98,600.0","95,900.0","2.29M","-1.74%"
"05/09/2025","97,900.0","100,000.0","101,400.0","97,900.0","2.77M","-1.41%"
"04/09/2025","99,300.0","97,600.0","99,500.0","97,400.0","2.21M","1.74%"
"03/09/2025","97,600.0","98,300.0","99,000.0","97,300.0","1.94M","-0.61%"
"29/08/2025","98,200.0","100,200.0","100,200.0","98,200.0","1.33M","-1.50%"
"28/08/2025","99,700.0","100,100.0","101,000.0","99,000.0","1.58M","1.01%"
"27/08/2025","98,700.0","98,500.0","100,700.0","97,100.0","2.43M","-0.30%"
"26/08/2025","99,000.0","96,100.0","99,000.0","96,100.0","1.53M","2.06%"
"25/08/2025","97,000.0","99,400.0","99,400.0","96,700.0","1.78M","-1.82%"
"22/08/2025","98,800.0","96,700.0","99,300.0","95,100.0","3.37M","2.17%"
"21/08/2025","96,700.0","98,300.0","99,300.0","95,400.0","5.25M","-2.32%"
"20/08/2025","99,000.0","102,200.0","102,300.0","98,000.0","4.60M","-3.13%"
"19/08/2025","102,200.0","103,400.0","103,600.0","101,900.0","2.85M","-1.16%"
"18/08/2025","103,400.0","103,600.0","105,100.0","102,500.0","2.39M","-0.19%"
"15/08/2025","103,600.0","106,200.0","106,700.0","103,100.0","3.52M","-2.17%"
"14/08/2025","105,900.0","106,700.0","106,700.0","104,600.0","3.34M","-0.56%"
"13/08/2025","106,500.0","107,900.0","107,900.0","105,100.0","3.07M","-1.30%"
"12/08/2025","107,900.0","106,900.0","110,900.0","106,300.0","4.83M","1.51%"
"11/08/2025","106,300.0","107,000.0","107,600.0","106,200.0","2.41M","-1.12%"
"08/08/2025","107,500.0","107,300.0","108,500.0","105,500.0","4.25M","1.13%"
"07/08/2025","106,300.0","107,400.0","108,300.0","105,600.0","2.26M","0.00%"
"06/08/2025","106,300.0","103,100.0","106,600.0","103,000.0","4.82M","2.71%"
"05/08/2025","103,500.0","103,200.0","105,400.0","101,600.0","3.81M","0.29%"
"04/08/2025","103,200.0","101,700.0","103,200.0","101,600.0","1.39M","1.57%"
"01/08/2025","101,600.0","102,300.0","103,000.0","101,600.0","1.65M","-1.26%"
"31/07/2025","102,900.0","104,500.0","104,500.0","101,500.0","2.09M","-0.96%"
"30/07/2025","103,900.0","101,500.0","103,900.0","101,000.0","2.34M","2.36%"
"29/07/2025","101,500.0","105,500.0","107,600.0","101,500.0","4.60M","-3.79%"
"28/07/2025","105,500.0","105,500.0","107,000.0","104,300.0","3.50M","0.29%"
"25/07/2025","105,200.0","105,600.0","105,600.0","104,100.0","1.99M","0.00%"
"24/07/2025","105,200.0","106,200.0","106,500.0","104,300.0","1.88M","-0.47%"
"23/07/2025","105,700.0","104,300.0","106,000.0","102,900.0","5.46M","3.32%"
"22/07/2025","102,300.0","101,800.0","102,800.0","101,700.0","1.83M","0.20%"
"21/07/2025","102,100.0","102,600.0","103,500.0","102,100.0","1.79M","-0.49%"
"18/07/2025","102,600.0","103,000.0","103,800.0","102,300.0","2.09M","-0.48%"
"17/07/2025","103,100.0","105,000.0","106,200.0","102,800.0","2.85M","1.08%"
"16/07/2025","102,000.0","102,500.0","102,800.0","101,500.0","1.72M","-0.39%"
"15/07/2025","102,400.0","104,000.0","105,300.0","102,400.0","3.01M","-1.44%"
"14/07/2025","103,900.0","104,200.0","104,200.0","101,700.0","1.85M","0.19%"
"11/07/2025","103,700.0","102,000.0","104,100.0","101,600.0","4.75M","2.17%"
"10/07/2025","101,500.0","101,600.0","102,000.0","101,000.0","2.30M","-0.59%"
"09/07/2025","102,100.0","103,100.0","104,600.0","102,100.0","1.98M","-0.49%"
"08/07/2025","102,600.0","102,200.0","102,600.0","101,100.0","1.91M","0.39%"
"07/07/2025","102,200.0","102,600.0","102,700.0","100,500.0","2.41M","0.20%"
"04/07/2025","102,000.0","102,900.0","103,400.0","101,700.0","1.41M","-0.97%"
"03/07/2025","103,000.0","100,600.0","104,200.0","100,500.0","3.44M","1.18%"
"02/07/2025","101,800.0","100,900.0","102,000.0","99,700.0","1.84M","0.89%"
"01/07/2025","100,900.0","102,200.0","102,200.0","99,500.0","2.44M","-0.79%"
"30/06/2025","101,700.0","100,600.0","102,500.0","100,400.0","2.88M","2.83%"
"27/06/2025","98,900.0","96,600.0","99,500.0","96,300.0","3.24M","2.28%"
"26/06/2025","96,700.0","97,300.0","97,800.0","96,500.0","1.02M","-0.51%"
"25/06/2025","97,200.0","96,900.0","98,000.0","96,300.0","2.03M","0.73%"
"24/06/2025","96,500.0","97,000.0","97,100.0","96,000.0","2.24M","0.10%"
"23/06/2025","96,400.0","96,000.0","97,400.0","95,000.0","1.14M","-0.41%"
"20/06/2025","96,800.0","97,200.0","97,200.0","96,000.0","1.81M","-0.62%"
"19/06/2025","97,400.0","97,500.0","98,800.0","96,300.0","1.73M","0.00%"
"18/06/2025","97,400.0","98,600.0","99,000.0","96,700.0","2.24M","-1.32%"
"17/06/2025","98,700.0","98,900.0","99,000.0","96,700.0","2.37M","0.71%"
"16/06/2025","98,000.0","93,100.0","98,000.0","93,100.0","4.96M","5.72%"
"13/06/2025","92,700.0","91,900.0","95,000.0","91,000.0","3.25M","-0.22%"
"12/06/2025","92,900.0","92,800.0","93,500.0","92,400.0","1.35M","0.22%"
"11/06/2025","92,700.0","91,300.0","95,500.0","90,800.0","3.66M","1.53%"
"10/06/2025","91,300.0","88,200.0","92,200.0","88,200.0","2.82M","3.63%"
"09/06/2025","88,100.0","89,800.0","89,800.0","88,100.0","1.10M","-1.89%"
"06/06/2025","89,800.0","90,600.0","90,600.0","89,100.0","1.15M","-0.88%"
"05/06/2025","90,600.0","90,200.0","91,700.0","89,700.0","1.63M","0.55%"
"04/06/2025","90,100.0","91,100.0","91,900.0","90,000.0","1.17M","-0.44%"
"03/06/2025","90,500.0","89,900.0","91,000.0","89,100.0","1.43M","1.57%"
"02/06/2025","89,100.0","89,000.0","89,300.0","88,000.0","658.80K","-0.89%"
"30/05/2025","89,900.0","90,000.0","90,000.0","88,000.0","1.72M","0.45%"
"29/05/2025","89,500.0","90,700.0","91,300.0","89,500.0","1.16M","-1.32%"
"28/05/2025","90,700.0","93,000.0","93,000.0","90,300.0","1.45M","-1.20%"
"27/05/2025","91,800.0","90,400.0","92,500.0","89,700.0","1.86M","2.00%"
"26/05/2025","90,000.0","87,500.0","90,000.0","87,300.0","1.66M","2.51%"
"23/05/2025","87,800.0","88,400.0","88,800.0","87,800.0","1.30M","-1.13%"
"22/05/2025","88,800.0","88,900.0","89,000.0","88,100.0","1.57M","0.00%"
"21/05/2025","88,800.0","90,000.0","90,200.0","88,700.0","1.36M","-1.22%"
"20/05/2025","89,900.0","89,500.0","90,000.0","88,700.0","1.80M","0.45%"
"19/05/2025","89,500.0","91,100.0","91,100.0","89,400.0","2.72M","-2.61%"
"16/05/2025","91,900.0","93,500.0","93,500.0","91,600.0","1.68M","-1.71%"
"15/05/2025","93,500.0","94,400.0","94,500.0","92,600.0","1.49M","-0.32%"
"14/05/2025","93,800.0","91,400.0","94,000.0","91,400.0","3.42M","2.40%"
"13/05/2025","91,600.0","91,900.0","93,000.0","91,200.0","3.83M","-0.22%"
"12/05/2025","91,800.0","92,400.0","92,400.0","91,200.0","1.24M","0.11%"
"09/05/2025","91,700.0","92,900.0","92,900.0","91,500.0","893.40K","-0.54%"
"08/05/2025","92,200.0","92,000.0","92,800.0","91,200.0","1.38M","0.11%"
"07/05/2025","92,100.0","93,300.0","94,000.0","91,800.0","1.20M","-1.29%"
"06/05/2025","93,300.0","94,500.0","94,700.0","93,000.0","958.70K","-0.53%"
"05/05/2025","93,800.0","92,500.0","94,000.0","90,800.0","1.79M","3.08%"
"29/04/2025","91,000.0","91,200.0","92,900.0","90,700.0","981.10K","-0.55%"
"28/04/2025","91,500.0","90,600.0","91,500.0","89,900.0","770.40K","0.33%"
"25/04/2025","91,200.0","91,900.0","92,000.0","89,700.0","1.18M","-0.44%"
"24/04/2025","91,600.0","91,500.0","92,500.0","90,600.0","1.13M","0.88%"
"23/04/2025","90,800.0","89,200.0","92,500.0","88,800.0","2.05M","2.95%"
"22/04/2025","88,200.0","87,600.0","89,900.0","81,500.0","3.38M","1.26%"
"21/04/2025","87,100.0","88,600.0","88,800.0","86,600.0","879.10K","-1.58%"
"18/04/2025","88,500.0","88,200.0","88,600.0","86,800.0","1.87M","1.49%"
"17/04/2025","87,200.0","85,600.0","87,300.0","85,600.0","1.12M","-0.46%"
"16/04/2025","87,600.0","88,500.0","89,300.0","87,200.0","2.57M","-2.12%"
