"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"22/09/2025","101,300.0","102,500.0","102,500.0","101,200.0","1.78M","-1.65%"
"19/09/2025","103,000.0","103,800.0","103,800.0","100,500.0","23.51M","0.00%"
"18/09/2025","103,000.0","106,000.0","106,300.0","103,000.0","8.20M","-2.37%"
"17/09/2025","105,500.0","104,000.0","107,800.0","104,000.0","20.02M","1.93%"
"16/09/2025","103,500.0","102,700.0","104,800.0","102,000.0","17.53M","1.57%"
"15/09/2025","101,900.0","101,900.0","103,500.0","101,500.0","14.12M","0.30%"
"12/09/2025","101,600.0","102,000.0","102,900.0","101,100.0","7.45M","-0.39%"
"11/09/2025","102,000.0","101,200.0","102,900.0","100,500.0","7.41M","0.79%"
"10/09/2025","101,200.0","102,100.0","102,900.0","101,100.0","5.50M","-0.88%"
"09/09/2025","102,100.0","102,000.0","103,000.0","101,000.0","6.46M","0.20%"
"08/09/2025","101,900.0","103,000.0","103,900.0","101,900.0","10.60M","-1.45%"
"05/09/2025","103,400.0","105,200.0","105,500.0","103,400.0","8.81M","-1.52%"
"04/09/2025","105,000.0","103,300.0","105,500.0","103,200.0","11.03M","1.74%"
"03/09/2025","103,200.0","102,000.0","103,300.0","100,000.0","9.74M","1.57%"
"29/08/2025","101,600.0","105,000.0","105,000.0","101,600.0","11.09M","-2.78%"
"28/08/2025","104,500.0","105,100.0","105,100.0","102,800.0","6.28M","-0.48%"
"27/08/2025","105,000.0","101,400.0","105,100.0","101,200.0","19.44M","5.00%"
"26/08/2025","100,000.0","98,800.0","100,000.0","97,900.0","5.81M","1.21%"
"25/08/2025","98,800.0","102,000.0","102,000.0","98,800.0","6.74M","-0.20%"
"22/08/2025","99,000.0","101,600.0","101,600.0","98,800.0","7.21M","-2.65%"
"21/08/2025","101,700.0","97,700.0","102,900.0","97,700.0","12.62M","4.09%"
"20/08/2025","97,700.0","100,100.0","100,300.0","97,500.0","19.97M","-2.59%"
"19/08/2025","100,300.0","100,600.0","101,500.0","100,000.0","9.15M","-0.20%"
"18/08/2025","100,500.0","101,400.0","103,000.0","100,000.0","11.39M","-0.89%"
"15/08/2025","101,400.0","103,800.0","104,800.0","101,300.0","18.62M","-2.31%"
"14/08/2025","103,800.0","105,800.0","105,800.0","103,700.0","17.91M","-1.24%"
"13/08/2025","105,100.0","107,600.0","107,800.0","104,900.0","21.85M","-2.23%"
"12/08/2025","107,500.0","107,400.0","108,200.0","106,600.0","11.01M","1.03%"
"11/08/2025","106,400.0","105,900.0","109,500.0","105,300.0","10.28M","0.76%"
"08/08/2025","105,600.0","106,500.0","107,400.0","104,800.0","9.18M","-0.56%"
"07/08/2025","106,200.0","105,600.0","107,400.0","104,900.0","9.57M","1.24%"
"06/08/2025","104,900.0","106,000.0","106,200.0","104,500.0","11.81M","-0.85%"
"05/08/2025","105,800.0","107,000.0","108,700.0","105,000.0","11.40M","-0.75%"
"04/08/2025","106,600.0","106,500.0","106,600.0","104,800.0","4.62M","-0.37%"
"01/08/2025","107,000.0","103,700.0","107,400.0","101,500.0","10.89M","2.88%"
"31/07/2025","104,000.0","106,100.0","106,900.0","103,800.0","8.94M","-1.98%"
"30/07/2025","106,100.0","107,000.0","108,000.0","105,300.0","7.49M","0.09%"
"29/07/2025","106,000.0","111,300.0","111,600.0","106,000.0","16.06M","-4.76%"
"28/07/2025","111,300.0","110,800.0","111,600.0","110,500.0","7.61M","0.54%"
"25/07/2025","110,700.0","111,100.0","111,500.0","110,500.0","5.14M","-0.36%"
"24/07/2025","111,100.0","112,000.0","112,100.0","110,800.0","6.42M","-0.63%"
"23/07/2025","111,800.0","112,300.0","112,800.0","111,300.0","4.80M","-0.27%"
"22/07/2025","112,100.0","110,300.0","112,200.0","108,700.0","6.89M","1.63%"
