"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"22/09/2025","62,100.0","62,400.0","62,500.0","62,000.0","114.90K","-0.64%"
"19/09/2025","62,500.0","63,300.0","63,300.0","62,500.0","658.20K","-0.79%"
"18/09/2025","63,000.0","64,000.0","64,100.0","62,900.0","731.30K","-1.56%"
"17/09/2025","64,000.0","62,800.0","64,300.0","62,800.0","1.49M","2.07%"
"16/09/2025","62,700.0","63,600.0","63,600.0","62,700.0","773.70K","-0.79%"
"15/09/2025","63,200.0","62,600.0","63,300.0","62,600.0","651.00K","1.12%"
"12/09/2025","62,500.0","62,300.0","62,900.0","61,700.0","556.10K","0.81%"
"11/09/2025","62,000.0","62,400.0","62,600.0","61,300.0","810.90K","0.16%"
"10/09/2025","61,900.0","62,100.0","62,500.0","61,700.0","756.90K","-0.32%"
"09/09/2025","62,100.0","63,000.0","63,100.0","61,600.0","1.26M","-0.80%"
"08/09/2025","62,600.0","63,800.0","64,200.0","62,600.0","1.29M","-1.88%"
"05/09/2025","63,800.0","64,900.0","65,200.0","63,600.0","1.22M","-0.62%"
"04/09/2025","64,200.0","63,900.0","64,200.0","63,800.0","719.50K","0.63%"
"03/09/2025","63,800.0","64,200.0","64,400.0","63,400.0","894.20K","0.00%"
"29/08/2025","63,800.0","65,000.0","65,000.0","63,800.0","1.48M","-1.69%"
"28/08/2025","64,900.0","65,500.0","65,500.0","64,700.0","768.20K","-0.02%"
"27/08/2025","64,913.8","65,667.5","65,667.5","64,725.4","1.43M","-0.86%"
"26/08/2025","65,479.1","64,819.6","65,479.1","64,725.4","801.03K","1.16%"
"25/08/2025","64,725.4","64,913.8","65,573.3","64,536.9","996.01K","1.03%"
"22/08/2025","64,065.9","65,008.0","65,102.2","64,065.9","1.23M","-1.88%"
"21/08/2025","65,290.6","65,008.0","65,479.1","64,065.9","1.09M","1.46%"
"20/08/2025","64,348.5","65,950.1","66,044.4","63,594.8","1.74M","-2.29%"
"19/08/2025","65,855.9","66,232.8","66,703.9","65,761.7","1.37M","-0.14%"
"18/08/2025","65,950.1","66,986.5","66,986.5","65,573.3","1.21M","0.43%"
"15/08/2025","65,667.5","65,950.1","67,363.4","65,384.9","1.73M","0.00%"
"14/08/2025","65,667.5","66,138.6","66,232.8","65,196.4","1.26M","-0.43%"
"13/08/2025","65,950.1","66,515.4","66,798.1","65,290.6","1.94M","-0.71%"
"12/08/2025","66,421.2","66,327.0","67,174.9","65,950.1","1.74M","0.14%"
"11/08/2025","66,327.0","66,232.8","67,080.7","66,044.4","1.27M","0.28%"
"08/08/2025","66,138.6","65,384.9","66,798.1","65,008.0","2.28M","1.59%"
"07/08/2025","65,102.2","65,855.9","65,855.9","64,631.1","1.01M","-0.29%"
"06/08/2025","65,290.6","63,877.4","65,290.6","63,877.4","1.34M","2.21%"
"05/08/2025","63,877.4","64,442.7","65,384.9","63,500.6","2.08M","-0.29%"
"04/08/2025","64,065.9","63,783.2","64,819.6","63,594.8","2.11M","0.59%"
"01/08/2025","63,689.0","64,254.3","64,254.3","63,406.3","916.08K","-0.15%"
"31/07/2025","63,783.2","65,573.3","65,573.3","63,689.0","864.89K","-0.29%"
"30/07/2025","63,971.6","64,725.4","64,725.4","63,312.1","930.60K","-0.15%"
"29/07/2025","64,065.9","64,913.8","66,421.2","64,065.9","2.17M","-1.31%"
"28/07/2025","64,913.8","65,102.2","65,384.9","64,348.5","1.21M","0.29%"
"25/07/2025","64,725.4","65,102.2","65,950.1","64,725.4","1.13M","-0.58%"
"24/07/2025","65,102.2","65,102.2","66,138.6","65,008.0","1.27M","0.14%"
"23/07/2025","65,008.0","64,160.1","65,290.6","63,689.0","1.75M","1.62%"
"22/07/2025","63,971.6","63,783.2","63,971.6","63,217.9","673.21K","0.59%"
"21/07/2025","63,594.8","64,254.3","64,254.3","63,312.1","747.37K","-0.88%"
"18/07/2025","64,160.1","63,971.6","64,536.9","63,500.6","929.06K","0.59%"
"17/07/2025","63,783.2","63,594.8","63,971.6","63,123.7","1.43M","0.45%"
"16/07/2025","63,500.6","63,783.2","63,971.6","63,312.1","540.96K","-0.44%"
"15/07/2025","63,783.2","64,254.3","64,536.9","63,783.2","825.24K","-0.73%"
"14/07/2025","64,254.3","64,536.9","64,631.1","63,971.6","793.20K","0.44%"
"11/07/2025","63,971.6","64,160.1","64,536.9","63,689.0","707.09K","-0.73%"
"10/07/2025","64,442.7","64,160.1","64,913.8","63,689.0","1.17M","0.59%"
"09/07/2025","64,065.9","63,971.6","64,065.9","63,689.0","980.25K","0.44%"
"08/07/2025","63,783.2","63,217.9","63,783.2","62,841.1","937.51K","1.80%"
"07/07/2025","62,652.6","62,841.1","62,841.1","62,558.4","516.13K","0.15%"
"04/07/2025","62,558.4","62,558.4","62,841.1","62,370.0","572.68K","0.30%"
"03/07/2025","62,370.0","63,029.5","63,594.8","62,370.0","939.98K","-0.30%"
"02/07/2025","62,558.4","62,558.4","63,123.7","62,370.0","580.51K","0.00%"
"01/07/2025","62,558.4","63,594.8","63,877.4","62,558.4","883.12K","-2.06%"
"30/06/2025","63,877.4","64,254.3","64,348.5","63,406.3","693.70K","-0.29%"
"27/06/2025","64,065.9","64,536.9","64,631.1","63,689.0","721.41K","-0.73%"
"26/06/2025","64,536.9","63,783.2","64,536.9","63,594.8","784.34K","1.48%"
"25/06/2025","63,594.8","64,819.6","64,913.8","63,594.8","1.77M","-2.32%"
"24/06/2025","65,102.2","64,160.1","66,327.0","64,160.1","2.71M","-4.82%"
"23/06/2025","68,399.7","69,341.9","69,341.9","67,457.6","3.03M","4.46%"
"20/06/2025","65,479.1","67,834.4","67,834.4","65,290.6","1.79M","-3.20%"
"19/06/2025","67,646.0","66,798.1","68,117.1","66,044.4","2.77M","1.27%"
"18/06/2025","66,798.1","65,950.1","67,174.9","65,196.4","2.74M","2.31%"
"17/06/2025","65,290.6","65,573.3","65,855.9","64,254.3","2.85M","0.58%"
"16/06/2025","64,913.8","62,181.6","64,913.8","61,898.9","3.27M","6.99%"
"13/06/2025","60,674.1","60,674.1","62,181.6","60,014.6","3.81M","2.55%"
"12/06/2025","59,166.7","59,826.2","59,826.2","58,978.3","494.09K","0.32%"
"11/06/2025","58,978.3","59,355.1","59,637.8","58,789.8","504.39K","-0.48%"
"10/06/2025","59,260.9","59,637.8","59,920.4","59,072.5","440.32K","-0.63%"
"09/06/2025","59,637.8","59,449.3","60,108.8","59,166.7","570.31K","0.48%"
"06/06/2025","59,355.1","60,108.8","60,108.8","59,166.7","897.64K","-1.25%"
"05/06/2025","60,108.8","61,051.0","61,051.0","59,826.2","829.66K","-1.54%"
"04/06/2025","61,051.0","61,993.1","61,993.1","60,956.8","762.41K","-1.52%"
"03/06/2025","61,993.1","61,710.5","62,087.3","61,522.1","765.50K","0.46%"
"02/06/2025","61,710.5","60,956.8","61,804.7","60,391.5","745.41K","0.77%"
"30/05/2025","61,239.4","60,297.3","61,522.1","60,297.3","1.40M","1.56%"
"29/05/2025","60,297.3","60,297.3","60,485.7","60,014.6","693.09K","-0.16%"
"28/05/2025","60,391.5","60,297.3","60,956.8","60,297.3","1.19M","0.63%"
"27/05/2025","60,014.6","59,826.2","60,203.1","59,260.9","801.75K","1.11%"
"26/05/2025","59,355.1","59,449.3","59,826.2","57,941.9","650.75K","0.00%"
"23/05/2025","59,355.1","57,565.1","59,732.0","57,565.1","1.35M","3.28%"
"22/05/2025","57,470.8","56,905.6","57,941.9","56,905.6","783.21K","1.16%"
"21/05/2025","56,811.3","56,999.8","57,376.6","56,717.1","324.55K","-0.33%"
"20/05/2025","56,999.8","57,282.4","57,282.4","56,528.7","623.25K","-0.33%"
"19/05/2025","57,188.2","57,282.4","57,659.3","57,188.2","601.83K","-1.78%"
"16/05/2025","58,224.6","58,413.0","58,413.0","57,847.7","306.42K","-0.32%"
"15/05/2025","58,413.0","58,318.8","58,507.2","57,847.7","688.86K","0.16%"
"14/05/2025","58,318.8","58,413.0","58,695.6","58,036.1","675.27K","-0.16%"
"13/05/2025","58,413.0","58,884.1","58,978.3","58,224.6","686.80K","-0.48%"
"12/05/2025","58,695.6","57,470.8","58,884.1","57,470.8","859.33K","1.96%"
"09/05/2025","57,565.1","58,036.1","58,413.0","57,282.4","506.45K","-0.49%"
"08/05/2025","57,847.7","57,470.8","58,130.3","57,188.2","887.65K","1.49%"
"07/05/2025","56,999.8","56,151.8","57,941.9","56,151.8","910.62K","1.51%"
"06/05/2025","56,151.8","55,398.1","56,340.3","55,209.7","926.90K","1.88%"
"05/05/2025","55,115.5","55,021.3","55,303.9","54,456.0","678.25K","0.34%"
