"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"22/09/2025","28,550","28,700","28,750","28,500","191.90K","-0.17%"
"19/09/2025","28,600","29,100","29,100","28,600","1.52M","-0.69%"
"18/09/2025","28,800","29,000","29,000","28,600","1.61M","-0.35%"
"17/09/2025","28,900","29,500","29,600","28,900","2.61M","-1.87%"
"16/09/2025","29,450","30,150","30,150","29,450","2.09M","-1.34%"
"15/09/2025","29,850","29,500","30,000","29,350","2.73M","1.70%"
"12/09/2025","29,350","28,900","29,700","28,800","2.26M","2.09%"
"11/09/2025","28,750","28,600","28,800","28,000","2.59M","1.59%"
"10/09/2025","28,300","28,900","28,900","28,250","2.81M","-1.05%"
"09/09/2025","28,600","28,800","29,000","28,400","2.42M","-0.69%"
"08/09/2025","28,800","30,300","30,300","28,800","4.60M","-3.36%"
"05/09/2025","29,800","29,800","30,800","29,700","7.75M","1.02%"
"04/09/2025","29,500","29,500","29,700","29,300","3.34M","0.68%"
"03/09/2025","29,300","29,050","29,700","29,000","2.78M","0.86%"
"29/08/2025","29,050","29,250","29,350","29,000","3.35M","-0.51%"
"28/08/2025","29,200","29,450","29,450","29,050","2.64M","0.17%"
"27/08/2025","29,150","29,400","29,600","29,000","2.71M","-0.17%"
"26/08/2025","29,200","28,500","29,250","28,250","3.73M","2.82%"
"25/08/2025","28,400","29,900","30,000","28,350","4.99M","-3.73%"
"22/08/2025","29,500","31,450","31,450","29,500","9.18M","-6.94%"
"21/08/2025","31,700","32,600","33,450","31,650","6.93M","-1.55%"
"20/08/2025","32,200","31,850","32,850","31,150","9.69M","1.74%"
"19/08/2025","31,650","32,000","32,250","31,550","4.57M","-0.31%"
"18/08/2025","31,750","31,400","32,200","31,300","4.97M","1.11%"
"15/08/2025","31,400","32,450","32,600","31,250","6.85M","-2.18%"
"14/08/2025","32,100","32,700","32,800","31,900","7.60M","-1.68%"
"13/08/2025","32,650","32,600","33,200","32,000","9.52M","0.62%"
"12/08/2025","32,450","32,950","32,950","31,900","5.99M","-0.46%"
"11/08/2025","32,600","30,650","32,700","30,650","16.55M","6.54%"
"08/08/2025","30,600","31,250","31,350","30,350","5.32M","-1.61%"
"07/08/2025","31,100","30,900","31,900","30,750","8.82M","2.81%"
"06/08/2025","30,250","30,050","30,400","29,800","4.24M","1.00%"
"05/08/2025","29,950","30,000","30,950","28,800","6.63M","0.17%"
"04/08/2025","29,900","29,600","30,250","29,600","2.43M","0.67%"
"01/08/2025","29,700","30,300","30,500","29,600","3.68M","-1.33%"
"31/07/2025","30,100","30,400","30,950","29,650","5.84M","2.03%"
"30/07/2025","29,500","29,550","30,100","28,950","4.90M","0.00%"
"29/07/2025","29,500","31,800","32,000","29,500","9.99M","-6.05%"
"28/07/2025","31,400","31,300","31,950","31,050","9.79M","0.64%"
"25/07/2025","31,200","31,850","31,850","31,200","5.45M","-1.42%"
"24/07/2025","31,650","31,500","32,150","31,050","6.63M","1.93%"
"23/07/2025","31,050","30,650","31,200","30,600","6.92M","1.97%"
"22/07/2025","30,450","30,500","30,700","30,100","3.68M","-0.49%"
"21/07/2025","30,600","30,600","31,300","30,450","5.35M","0.66%"
"18/07/2025","30,400","30,500","31,150","30,150","6.17M","1.16%"
"17/07/2025","30,050","30,100","30,700","29,900","6.70M","0.67%"
"16/07/2025","29,850","30,200","30,300","29,850","4.02M","-0.83%"
"15/07/2025","30,100","30,700","30,850","30,100","4.11M","-1.79%"
"14/07/2025","30,650","30,300","30,900","29,650","5.70M","2.17%"
"11/07/2025","30,000","30,300","30,450","30,000","3.28M","-0.33%"
"10/07/2025","30,100","29,900","30,650","29,750","5.20M","0.84%"
"09/07/2025","29,850","30,250","30,250","29,800","3.95M","-0.50%"
"08/07/2025","30,000","30,500","30,550","29,800","4.33M","0.84%"
"07/07/2025","29,750","29,700","30,100","29,550","2.77M","1.54%"
"04/07/2025","29,300","29,600","29,900","29,100","5.12M","-1.01%"
"03/07/2025","29,600","30,450","30,650","29,250","13.34M","-5.28%"
"02/07/2025","31,250","31,200","32,400","31,100","4.47M","0.32%"
"01/07/2025","31,150","30,650","31,300","30,400","5.30M","2.81%"
"30/06/2025","30,300","30,550","30,950","30,150","2.51M","-0.16%"
"27/06/2025","30,350","30,800","31,100","30,350","2.31M","-0.49%"
"26/06/2025","30,500","30,800","30,900","30,250","1.93M","-0.97%"
