"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"22/09/2025","29,500.0","30,200.0","30,200.0","29,500.0","3.10M","-2.32%"
"19/09/2025","30,200.0","30,600.0","30,600.0","30,000.0","10.79M","-1.63%"
"18/09/2025","30,700.0","30,950.0","30,950.0","30,200.0","13.22M","-0.65%"
"17/09/2025","30,900.0","31,200.0","31,250.0","30,900.0","9.47M","-1.28%"
"16/09/2025","31,300.0","31,400.0","31,550.0","30,900.0","15.90M","0.16%"
"15/09/2025","31,250.0","31,500.0","31,600.0","31,050.0","11.47M","-0.79%"
"12/09/2025","31,500.0","31,500.0","31,550.0","31,050.0","10.85M","0.00%"
"11/09/2025","31,500.0","31,200.0","31,600.0","30,500.0","11.43M","-0.32%"
"10/09/2025","31,600.0","31,600.0","31,650.0","30,950.0","11.92M","0.16%"
"09/09/2025","31,550.0","30,700.0","31,550.0","30,550.0","13.48M","2.10%"
"08/09/2025","30,900.0","31,900.0","31,950.0","30,500.0","25.52M","-4.33%"
"05/09/2025","32,300.0","33,500.0","33,550.0","31,900.0","21.62M","-2.56%"
"04/09/2025","33,150.0","33,150.0","33,200.0","32,550.0","17.40M","0.15%"
"03/09/2025","33,100.0","33,500.0","33,550.0","33,000.0","10.79M","-1.05%"
"29/08/2025","33,450.0","32,900.0","33,800.0","32,700.0","25.02M","2.92%"
"28/08/2025","32,500.0","32,500.0","32,550.0","31,750.0","12.88M","0.15%"
"27/08/2025","32,450.0","32,900.0","33,000.0","32,050.0","14.03M","0.46%"
"26/08/2025","32,300.0","31,300.0","32,300.0","30,950.0","11.35M","3.19%"
"25/08/2025","31,300.0","32,900.0","32,900.0","30,550.0","21.42M","-3.25%"
"22/08/2025","32,350.0","33,250.0","33,250.0","31,500.0","29.13M","-2.71%"
"21/08/2025","33,250.0","32,000.0","33,950.0","32,000.0","35.25M","4.40%"
"20/08/2025","31,850.0","32,600.0","32,750.0","30,950.0","28.10M","-2.00%"
"19/08/2025","32,500.0","30,900.0","32,600.0","30,650.0","34.11M","6.56%"
"18/08/2025","30,500.0","31,200.0","31,200.0","30,000.0","23.45M","-1.61%"
"15/08/2025","31,000.0","31,650.0","31,700.0","30,400.0","29.07M","0.16%"
"14/08/2025","30,950.0","29,900.0","30,950.0","29,200.0","59.89M","6.91%"
"13/08/2025","28,950.0","29,400.0","29,450.0","28,450.0","24.76M","0.17%"
"12/08/2025","28,900.0","28,000.0","28,950.0","27,900.0","25.36M","3.58%"
"11/08/2025","27,900.0","28,350.0","28,350.0","27,900.0","28.02M","-0.53%"
"08/08/2025","28,050.0","28,600.0","28,700.0","27,900.0","19.46M","-1.58%"
"07/08/2025","28,500.0","28,700.0","28,700.0","27,950.0","24.72M","0.88%"
"06/08/2025","28,250.0","28,500.0","28,600.0","28,000.0","15.36M","1.25%"
"05/08/2025","27,900.0","28,700.0","29,100.0","27,000.0","30.15M","-0.36%"
"04/08/2025","28,000.0","27,050.0","28,000.0","26,900.0","19.05M","3.70%"
"01/08/2025","27,000.0","26,450.0","27,150.0","26,400.0","18.63M","2.08%"
"31/07/2025","26,450.0","27,150.0","27,650.0","25,950.0","32.37M","-0.75%"
"30/07/2025","26,650.0","26,500.0","26,800.0","25,750.0","20.47M","0.57%"
"29/07/2025","26,500.0","28,400.0","28,400.0","26,500.0","33.55M","-6.85%"
"28/07/2025","28,450.0","28,350.0","29,250.0","27,900.0","24.56M","0.71%"
"25/07/2025","28,250.0","27,600.0","28,400.0","27,400.0","20.69M","2.36%"
"24/07/2025","27,600.0","27,150.0","28,350.0","26,850.0","50.98M","4.15%"
"23/07/2025","26,500.0","25,700.0","26,700.0","25,650.0","35.01M","4.13%"
"22/07/2025","25,450.0","24,500.0","25,450.0","24,350.0","27.41M","3.88%"
"21/07/2025","24,500.0","24,500.0","24,650.0","24,300.0","16.14M","0.41%"
"18/07/2025","24,400.0","24,450.0","24,500.0","24,100.0","14.31M","0.21%"
"17/07/2025","24,350.0","24,350.0","24,450.0","24,150.0","13.06M","0.41%"
"16/07/2025","24,250.0","24,150.0","24,300.0","24,100.0","16.04M","0.41%"
"15/07/2025","24,150.0","24,400.0","24,750.0","24,150.0","31.22M","-1.02%"
"14/07/2025","24,400.0","24,500.0","24,500.0","24,050.0","13.08M","-0.20%"
"11/07/2025","24,450.0","24,350.0","24,450.0","23,950.0","16.45M","0.41%"
"10/07/2025","24,350.0","24,350.0","24,400.0","24,050.0","14.92M","0.62%"
"09/07/2025","24,200.0","23,600.0","24,700.0","23,500.0","34.20M","2.98%"
"08/07/2025","23,500.0","23,400.0","23,550.0","23,250.0","17.33M","0.86%"
"07/07/2025","23,300.0","22,650.0","23,300.0","22,600.0","24.88M","3.33%"
"04/07/2025","22,550.0","22,650.0","22,800.0","22,400.0","13.21M","0.00%"
"03/07/2025","22,550.0","22,300.0","22,750.0","22,200.0","18.41M","1.12%"
"02/07/2025","22,300.0","22,150.0","22,500.0","22,050.0","15.27M","0.90%"
"01/07/2025","22,100.0","21,850.0","22,300.0","21,800.0","23.74M","1.38%"
"30/06/2025","21,800.0","21,800.0","21,900.0","21,750.0","6.66M","0.00%"
"27/06/2025","21,800.0","21,750.0","21,900.0","21,600.0","7.99M","0.46%"
"26/06/2025","21,700.0","21,850.0","21,900.0","21,600.0","8.63M","-0.46%"
