"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"22/09/2025","28,850.0","29,250.0","29,250.0","28,800.0","8.13M","-1.37%"
"19/09/2025","29,250.0","29,300.0","29,400.0","28,800.0","45.02M","0.34%"
"18/09/2025","29,150.0","29,350.0","29,400.0","28,600.0","75.69M","-0.17%"
"17/09/2025","29,200.0","29,900.0","30,250.0","29,200.0","124.42M","-2.50%"
"16/09/2025","29,950.0","30,550.0","30,550.0","29,750.0","66.86M","-1.32%"
"15/09/2025","30,350.0","30,250.0","30,850.0","30,100.0","88.92M","1.17%"
"12/09/2025","30,000.0","29,200.0","30,100.0","29,150.0","104.62M","2.92%"
"11/09/2025","29,150.0","28,700.0","29,200.0","28,000.0","71.78M","1.04%"
"10/09/2025","28,850.0","28,850.0","29,200.0","28,400.0","52.46M","0.00%"
"09/09/2025","28,850.0","29,200.0","29,250.0","28,200.0","73.86M","-0.17%"
"08/09/2025","28,900.0","28,700.0","29,750.0","28,650.0","141.77M","0.35%"
"05/09/2025","28,800.0","30,000.0","30,100.0","28,800.0","95.26M","-3.52%"
"04/09/2025","29,850.0","28,450.0","29,900.0","28,350.0","141.44M","6.04%"
"03/09/2025","28,150.0","27,400.0","29,000.0","27,250.0","119.14M","2.36%"
"29/08/2025","27,500.0","27,200.0","27,850.0","27,050.0","81.74M","1.48%"
"28/08/2025","27,100.0","26,950.0","27,500.0","26,850.0","63.17M","1.31%"
"27/08/2025","26,750.0","27,250.0","27,250.0","26,750.0","85.99M","-1.65%"
"26/08/2025","27,200.0","26,100.0","27,200.0","26,100.0","51.99M","4.82%"
"25/08/2025","25,950.0","26,500.0","26,750.0","25,850.0","68.32M","-0.19%"
"22/08/2025","26,000.0","26,950.0","27,100.0","26,000.0","132.31M","-5.11%"
"21/08/2025","27,400.0","27,450.0","27,800.0","27,300.0","69.98M","0.00%"
"20/08/2025","27,400.0","28,200.0","28,250.0","27,050.0","101.01M","-2.66%"
"19/08/2025","28,150.0","28,600.0","28,700.0","28,100.0","63.02M","-0.88%"
"18/08/2025","28,400.0","28,300.0","28,800.0","28,200.0","69.04M","1.43%"
"15/08/2025","28,000.0","28,450.0","28,800.0","27,850.0","107.93M","-0.71%"
"14/08/2025","28,200.0","28,200.0","28,450.0","28,000.0","76.05M","0.36%"
"13/08/2025","28,100.0","28,550.0","28,600.0","27,850.0","79.77M","-1.40%"
"12/08/2025","28,500.0","28,350.0","29,100.0","28,150.0","84.20M","1.24%"
"11/08/2025","28,150.0","28,150.0","28,450.0","27,800.0","67.22M","0.54%"
"08/08/2025","28,000.0","28,600.0","28,650.0","27,600.0","121.06M","-1.75%"
"07/08/2025","28,500.0","27,350.0","28,550.0","27,000.0","139.12M","5.17%"
"06/08/2025","27,100.0","26,750.0","27,700.0","26,650.0","96.17M","2.65%"
"05/08/2025","26,400.0","25,450.0","27,050.0","25,450.0","216.00M","4.35%"
"04/08/2025","25,300.0","25,100.0","25,450.0","24,950.0","37.06M","0.60%"
"01/08/2025","25,150.0","24,850.0","25,300.0","24,800.0","50.80M","0.80%"
