"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"22/09/2025","46,400","46,550","46,600","46,000","351.20K","-0.22%"
"19/09/2025","46,500","45,700","47,150","45,100","3.20M","2.42%"
"18/09/2025","45,400","45,300","45,850","45,050","3.11M","0.22%"
"17/09/2025","45,300","45,450","45,500","44,500","2.59M","0.89%"
"16/09/2025","44,900","44,700","45,150","44,000","2.77M","0.79%"
"15/09/2025","44,550","44,300","44,750","43,550","2.12M","1.02%"
"12/09/2025","44,100","44,100","44,350","43,200","2.58M","0.23%"
"11/09/2025","44,000","42,000","44,650","40,400","4.00M","4.89%"
"10/09/2025","41,950","42,150","42,600","41,250","2.46M","-0.83%"
"09/09/2025","42,300","42,850","43,600","41,550","2.73M","-1.17%"
"08/09/2025","42,800","44,400","44,600","42,800","3.48M","-3.71%"
"05/09/2025","44,450","45,750","46,150","44,450","3.36M","-2.63%"
"04/09/2025","45,650","45,000","46,100","44,600","2.87M","2.13%"
"03/09/2025","44,700","44,950","45,600","44,000","2.03M","-0.67%"
"29/08/2025","45,000","44,850","45,700","44,250","3.25M","0.33%"
"28/08/2025","44,850","43,900","45,000","43,200","2.52M","2.40%"
"27/08/2025","43,800","46,000","46,000","43,800","4.32M","-3.74%"
"26/08/2025","45,500","45,200","45,650","43,800","4.22M","1.11%"
"25/08/2025","45,000","47,050","47,450","45,000","5.17M","-4.26%"
"22/08/2025","47,000","48,000","48,400","45,600","6.68M","-2.89%"
"21/08/2025","48,400","48,000","48,950","46,600","6.75M","5.79%"
"20/08/2025","45,750","42,900","45,750","41,000","7.12M","6.89%"
"19/08/2025","42,800","40,450","42,850","40,200","4.88M","6.73%"
"18/08/2025","40,100","39,200","40,300","38,950","4.08M","2.82%"
"15/08/2025","39,000","40,750","40,750","38,600","6.18M","-2.99%"
"14/08/2025","40,200","39,850","40,550","39,600","7.64M","2.55%"
"13/08/2025","39,200","38,500","40,200","38,500","10.59M","3.02%"
"12/08/2025","38,050","35,850","38,050","35,450","9.52M","6.28%"
"11/08/2025","35,800","35,500","35,800","35,100","3.49M","1.13%"
"08/08/2025","35,400","35,800","35,850","35,000","3.35M","-1.12%"
"07/08/2025","35,800","36,500","36,500","35,250","4.52M","-0.83%"
"06/08/2025","36,100","35,500","36,100","35,500","4.09M","2.27%"
"05/08/2025","35,300","34,700","36,550","34,700","9.50M","1.73%"
"04/08/2025","34,700","34,450","34,850","33,800","3.12M","0.58%"
"01/08/2025","34,500","34,250","34,500","33,450","2.85M","0.88%"
"31/07/2025","34,200","34,300","34,500","33,350","4.57M","0.00%"
"30/07/2025","34,200","34,300","35,000","33,800","3.59M","-0.29%"
