"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"22/09/2025","26,500.0","26,550.0","26,600.0","26,350.0","4.41M","-0.56%"
"19/09/2025","26,650.0","26,950.0","26,950.0","26,500.0","14.48M","-0.56%"
"18/09/2025","26,800.0","26,950.0","27,100.0","26,600.0","17.72M","-0.74%"
"17/09/2025","27,000.0","27,400.0","27,550.0","27,000.0","15.82M","-1.82%"
"16/09/2025","27,500.0","27,100.0","27,850.0","27,050.0","51.37M","2.42%"
"15/09/2025","26,850.0","26,750.0","26,850.0","26,550.0","21.48M","0.94%"
"12/09/2025","26,600.0","26,900.0","27,000.0","26,600.0","19.23M","-0.37%"
"11/09/2025","26,700.0","26,800.0","26,950.0","26,050.0","31.17M","-0.93%"
"10/09/2025","26,950.0","27,000.0","27,550.0","26,800.0","28.90M","1.13%"
"09/09/2025","26,650.0","26,700.0","27,000.0","26,300.0","32.84M","-0.19%"
"08/09/2025","26,700.0","27,200.0","27,250.0","26,700.0","62.87M","-2.55%"
"05/09/2025","27,400.0","28,500.0","28,650.0","27,400.0","66.55M","-3.01%"
"04/09/2025","28,250.0","28,450.0","28,600.0","28,100.0","28.05M","-0.70%"
"03/09/2025","28,450.0","27,800.0","28,800.0","27,500.0","46.65M","2.52%"
"29/08/2025","27,750.0","27,450.0","28,200.0","27,200.0","55.72M","2.02%"
"28/08/2025","27,200.0","27,400.0","27,550.0","26,700.0","32.47M","-0.73%"
"27/08/2025","27,400.0","28,200.0","28,250.0","27,400.0","39.08M","-0.54%"
"26/08/2025","27,550.0","26,200.0","27,600.0","26,100.0","40.43M","5.15%"
"25/08/2025","26,200.0","27,150.0","27,300.0","25,800.0","56.19M","-2.60%"
"22/08/2025","26,900.0","27,750.0","28,000.0","26,900.0","72.90M","-4.61%"
"21/08/2025","28,200.0","28,050.0","28,700.0","27,750.0","57.15M","1.44%"
"20/08/2025","27,800.0","28,200.0","28,300.0","26,850.0","77.39M","-1.42%"
"19/08/2025","28,200.0","28,350.0","29,400.0","27,900.0","54.01M","1.44%"
"18/08/2025","27,800.0","28,550.0","28,600.0","27,650.0","51.03M","-1.59%"
"15/08/2025","28,250.0","29,500.0","29,500.0","27,700.0","117.47M","2.36%"
"14/08/2025","27,600.0","27,600.0","27,600.0","27,600.0","40.32M","6.98%"
"13/08/2025","25,800.0","25,400.0","25,800.0","24,700.0","79.61M","5.85%"
"12/08/2025","24,373.3","24,298.1","24,373.3","23,809.1","74.74M","1.89%"
"11/08/2025","23,921.9","23,169.7","24,410.9","23,094.4","64.24M","4.09%"
"08/08/2025","22,981.6","23,282.5","23,320.1","22,831.1","33.78M","-0.65%"
"07/08/2025","23,132.0","23,244.9","23,282.5","22,831.1","35.61M","0.49%"
"06/08/2025","23,019.2","22,944.0","23,282.5","22,718.3","40.11M","3.03%"
"05/08/2025","22,342.2","21,740.4","22,342.2","20,800.0","93.86M","6.83%"
"04/08/2025","20,912.9","20,386.3","20,912.9","20,348.7","28.04M","2.39%"
"01/08/2025","20,423.9","20,649.6","20,800.0","20,348.7","23.62M","-1.09%"
"31/07/2025","20,649.6","20,800.0","20,912.9","20,273.5","32.96M","0.18%"
"30/07/2025","20,612.0","20,461.5","20,950.5","20,198.2","42.38M","2.05%"
"29/07/2025","20,198.2","21,665.1","21,702.7","20,198.2","64.67M","-6.61%"
"28/07/2025","21,627.5","21,401.8","21,627.5","21,326.6","32.87M","1.05%"
"25/07/2025","21,401.8","21,439.5","21,702.7","21,364.2","23.90M","0.18%"
"24/07/2025","21,364.2","20,724.8","21,401.8","20,724.8","52.81M","3.65%"
"23/07/2025","20,612.0","20,461.5","20,762.4","20,386.3","35.89M","0.92%"
"22/07/2025","20,423.9","20,235.8","20,423.9","20,047.8","20.41M","0.74%"
"21/07/2025","20,273.5","20,536.7","20,800.0","20,235.8","23.69M","-0.92%"
"18/07/2025","20,461.5","20,160.6","20,499.1","20,010.2","33.22M","1.68%"
"17/07/2025","20,123.0","20,123.0","20,235.8","19,972.5","22.89M","0.19%"
"16/07/2025","20,085.4","19,934.9","20,123.0","19,897.3","23.26M","0.38%"
"15/07/2025","20,010.2","20,160.6","20,386.3","20,010.2","25.51M","-0.75%"
