"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"22/09/2025","35,300.0","35,400.0","35,550.0","35,200.0","200.20K","-0.14%"
"19/09/2025","35,350.0","35,550.0","35,750.0","35,300.0","2.15M","-0.70%"
"18/09/2025","35,600.0","36,100.0","36,150.0","35,550.0","1.61M","-1.39%"
"17/09/2025","36,100.0","36,150.0","36,650.0","36,000.0","1.91M","0.42%"
"16/09/2025","35,950.0","36,000.0","36,300.0","35,800.0","2.34M","0.56%"
"15/09/2025","35,750.0","36,000.0","36,050.0","35,600.0","1.25M","0.42%"
"12/09/2025","35,600.0","35,400.0","36,000.0","35,250.0","1.76M","0.71%"
"11/09/2025","35,350.0","35,600.0","35,700.0","34,850.0","2.03M","-0.14%"
"10/09/2025","35,400.0","35,600.0","35,850.0","35,250.0","951.80K","-0.14%"
"09/09/2025","35,450.0","35,550.0","35,700.0","35,150.0","1.66M","-0.14%"
"08/09/2025","35,500.0","36,500.0","36,600.0","35,500.0","3.12M","-3.01%"
"05/09/2025","36,600.0","36,800.0","37,200.0","36,600.0","2.74M","-0.14%"
"04/09/2025","36,650.0","36,600.0","37,000.0","36,500.0","1.44M","0.27%"
"03/09/2025","36,550.0","36,400.0","36,950.0","36,300.0","1.41M","1.25%"
"29/08/2025","36,100.0","36,500.0","36,500.0","36,050.0","1.69M","-0.14%"
"28/08/2025","36,150.0","36,450.0","36,800.0","36,100.0","1.88M","-0.69%"
"27/08/2025","36,400.0","36,350.0","36,850.0","36,150.0","1.39M","0.14%"
"26/08/2025","36,350.0","36,000.0","36,400.0","35,900.0","1.25M","1.39%"
"25/08/2025","35,850.0","36,100.0","36,500.0","35,750.0","2.06M","-0.28%"
"22/08/2025","35,950.0","36,700.0","36,850.0","35,850.0","3.93M","-2.57%"
"21/08/2025","36,900.0","37,000.0","37,400.0","36,700.0","2.49M","-0.27%"
"20/08/2025","37,000.0","38,300.0","38,350.0","36,650.0","4.91M","-3.52%"
"19/08/2025","38,350.0","38,800.0","39,300.0","38,350.0","4.03M","-1.16%"
"18/08/2025","38,800.0","39,200.0","39,350.0","38,450.0","3.22M","0.78%"
"15/08/2025","38,500.0","38,000.0","39,750.0","37,700.0","7.51M","1.58%"
"14/08/2025","37,900.0","38,400.0","38,400.0","37,550.0","2.33M","-0.26%"
"13/08/2025","38,000.0","38,650.0","38,950.0","37,500.0","3.55M","-1.30%"
"12/08/2025","38,500.0","38,000.0","38,850.0","37,650.0","4.94M","1.45%"
"11/08/2025","37,950.0","38,250.0","38,500.0","37,650.0","2.34M","-0.65%"
"08/08/2025","38,200.0","37,100.0","38,500.0","37,100.0","6.38M","2.96%"
"07/08/2025","37,100.0","37,500.0","37,550.0","37,000.0","2.32M","-0.93%"
"06/08/2025","37,450.0","36,800.0","37,600.0","36,700.0","2.98M","2.32%"
"05/08/2025","36,600.0","36,900.0","37,100.0","36,200.0","3.92M","0.00%"
"04/08/2025","36,600.0","36,300.0","36,850.0","36,000.0","2.61M","2.23%"
"01/08/2025","35,800.0","36,250.0","36,300.0","35,650.0","3.05M","-1.24%"
"31/07/2025","36,250.0","36,600.0","37,100.0","36,150.0","2.10M","-0.14%"
"30/07/2025","36,300.0","37,000.0","37,000.0","36,200.0","3.10M","-0.55%"
"29/07/2025","36,500.0","37,900.0","38,500.0","36,500.0","7.47M","-3.57%"
"28/07/2025","37,850.0","38,150.0","38,200.0","37,700.0","3.97M","-0.66%"
"25/07/2025","38,100.0","38,200.0","38,600.0","38,000.0","2.92M","0.00%"
"24/07/2025","38,100.0","37,350.0","38,200.0","37,300.0","4.40M","2.28%"
"23/07/2025","37,250.0","37,250.0","37,500.0","37,000.0","2.05M","0.27%"
"22/07/2025","37,150.0","37,100.0","37,150.0","36,900.0","1.52M","0.13%"
"21/07/2025","37,100.0","37,550.0","37,600.0","37,100.0","1.17M","-0.54%"
"18/07/2025","37,300.0","37,150.0","37,600.0","37,150.0","2.30M","0.54%"
"17/07/2025","37,100.0","37,250.0","37,350.0","37,050.0","1.79M","-0.40%"
"16/07/2025","37,250.0","37,300.0","37,500.0","37,050.0","1.73M","-0.13%"
"15/07/2025","37,300.0","37,500.0","37,700.0","37,300.0","1.51M","-0.53%"
