"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"22/09/2025","45,900","46,100","46,450","45,800","239.90K","-0.22%"
"19/09/2025","46,000","46,950","46,950","46,000","1.39M","-1.71%"
"18/09/2025","46,800","47,450","47,550","46,700","1.01M","-1.06%"
"17/09/2025","47,300","47,800","48,150","47,300","983.00K","-1.05%"
"16/09/2025","47,800","46,950","48,150","46,600","2.74M","2.36%"
"15/09/2025","46,700","46,950","47,000","46,650","507.50K","0.11%"
"12/09/2025","46,650","46,300","47,400","46,300","1.05M","0.54%"
"11/09/2025","46,400","46,400","46,500","45,700","705.60K","0.32%"
"10/09/2025","46,250","46,500","46,600","46,150","506.70K","-0.11%"
"09/09/2025","46,300","46,750","46,800","46,200","858.20K","-1.07%"
"08/09/2025","46,800","47,500","47,550","46,750","869.10K","-1.06%"
"05/09/2025","47,300","47,250","47,500","47,100","1.24M","0.42%"
"04/09/2025","47,100","46,500","47,200","46,350","1.01M","1.62%"
"03/09/2025","46,350","46,600","46,600","46,250","558.90K","-0.43%"
"29/08/2025","46,550","46,800","46,900","46,550","788.10K","0.00%"
"28/08/2025","46,550","46,000","46,650","46,000","545.50K","1.20%"
"27/08/2025","46,000","46,100","46,300","45,850","1.21M","0.22%"
"26/08/2025","45,900","45,600","45,900","45,450","696.90K","0.66%"
"25/08/2025","45,600","45,800","46,000","45,500","990.90K","-0.44%"
"22/08/2025","45,800","46,500","46,600","45,700","1.85M","-1.72%"
"21/08/2025","46,600","46,550","46,900","46,300","1.41M","-0.32%"
"20/08/2025","46,750","47,150","47,150","46,550","1.21M","-0.85%"
"19/08/2025","47,150","47,250","47,350","47,050","1.05M","0.00%"
"18/08/2025","47,150","47,550","47,750","47,150","962.20K","-0.74%"
"15/08/2025","47,500","47,950","47,950","47,400","1.55M","-0.84%"
"14/08/2025","47,900","48,100","48,100","47,750","1.14M","-0.10%"
"13/08/2025","47,950","48,450","48,450","47,850","1.13M","-0.72%"
"12/08/2025","48,300","48,400","48,550","48,200","1.26M","0.21%"
"11/08/2025","48,200","48,000","48,550","48,000","1.47M","0.73%"
"08/08/2025","47,850","47,700","48,150","47,600","930.80K","0.31%"
"07/08/2025","47,700","48,000","48,000","47,550","860.10K","-0.21%"
"06/08/2025","47,800","47,600","48,150","47,350","980.70K","0.63%"
"05/08/2025","47,500","48,100","48,200","47,400","2.10M","-1.25%"
"04/08/2025","48,100","48,000","48,100","47,650","804.80K","0.31%"
"01/08/2025","47,950","47,700","48,050","47,700","1.03M","0.63%"
"31/07/2025","47,650","47,700","48,400","47,500","1.91M","0.11%"
"30/07/2025","47,600","47,400","47,800","47,350","2.02M","0.53%"
"29/07/2025","47,350","49,300","49,500","47,350","2.64M","-3.96%"
"28/07/2025","49,300","49,350","49,500","48,900","2.67M","0.41%"
"25/07/2025","49,100","49,000","49,100","48,850","1.34M","0.20%"
"24/07/2025","49,000","48,950","50,000","48,700","2.25M","0.82%"
"23/07/2025","48,600","47,850","48,900","47,500","2.66M","1.67%"
"22/07/2025","47,800","47,750","47,900","47,500","797.90K","0.21%"
"21/07/2025","47,700","48,050","48,350","47,700","1.65M","-1.04%"
"18/07/2025","48,200","48,550","48,550","48,000","1.34M","-0.41%"
"17/07/2025","48,400","48,050","48,700","47,850","2.04M","0.83%"
"16/07/2025","48,000","48,050","48,150","47,650","1.37M","-0.10%"
"15/07/2025","48,050","48,000","48,900","47,950","2.15M","0.10%"
"14/07/2025","48,000","48,150","48,350","47,650","1.27M","-0.31%"
"11/07/2025","48,150","48,100","48,250","47,500","2.44M","0.10%"
"10/07/2025","48,100","47,700","48,350","47,700","2.15M","0.94%"
"09/07/2025","47,650","47,000","47,750","46,900","2.60M","1.71%"
"08/07/2025","46,850","46,450","46,850","46,450","1.64M","0.97%"
"07/07/2025","46,400","46,500","46,650","46,300","1.32M","0.00%"
"04/07/2025","46,400","46,600","46,600","46,300","848.40K","0.32%"
"03/07/2025","46,250","46,400","46,600","46,250","1.54M","-0.32%"
"02/07/2025","46,400","46,500","46,500","46,100","1.10M","-0.32%"
"01/07/2025","46,550","47,000","47,000","46,500","904.40K","-0.96%"
"30/06/2025","47,000","47,600","47,750","46,900","1.92M","-1.26%"
"27/06/2025","47,600","47,600","47,882","47,318","3.00M","0.20%"
"26/06/2025","47,506","47,694","47,788","47,318","1.28M","0.40%"
"25/06/2025","47,318","46,424","47,506","46,424","1.76M","1.31%"
"24/06/2025","46,706","46,565","46,706","46,424","710.20K","0.81%"
"23/06/2025","46,330","46,283","46,518","46,189","1.05M","-6.40%"
"20/06/2025","49,500","49,500","49,600","49,300","716.60K","0.10%"
"19/06/2025","49,450","49,700","49,850","49,200","1.02M","-0.10%"
"18/06/2025","49,500","49,950","50,100","49,500","1.30M","-0.90%"
"17/06/2025","49,950","49,600","50,800","49,550","1.51M","0.81%"
"16/06/2025","49,550","49,000","49,700","49,000","976.60K","0.92%"
"13/06/2025","49,100","49,400","49,400","48,900","961.90K","-0.71%"
"12/06/2025","49,450","49,100","49,600","49,100","631.30K","0.92%"
"11/06/2025","49,000","48,900","49,100","48,850","347.40K","0.31%"
"10/06/2025","48,850","49,250","49,250","48,800","844.50K","0.00%"
"09/06/2025","48,850","49,050","49,400","48,850","923.50K","-0.41%"
"06/06/2025","49,050","49,500","49,750","49,050","754.00K","-0.91%"
"05/06/2025","49,500","50,000","50,200","49,500","994.00K","-1.20%"
"04/06/2025","50,100","49,600","50,700","49,550","1.48M","1.21%"
"03/06/2025","49,500","49,200","49,550","49,200","604.50K","0.71%"
"02/06/2025","49,150","48,750","49,350","48,550","569.40K","0.82%"
"30/05/2025","48,750","49,250","49,300","48,700","1.70M","-1.02%"
"29/05/2025","49,250","49,500","49,800","49,250","773.00K","-0.40%"
"28/05/2025","49,450","49,600","49,700","49,250","597.90K","0.00%"
"27/05/2025","49,450","49,750","49,750","49,400","590.80K","0.00%"
"26/05/2025","49,450","49,900","49,900","48,700","715.80K","0.00%"
"23/05/2025","49,450","49,650","49,700","49,300","396.50K","-0.40%"
"22/05/2025","49,650","49,600","49,700","49,400","793.90K","0.10%"
"21/05/2025","49,600","49,800","49,950","49,500","576.40K","-0.40%"
"20/05/2025","49,800","49,500","49,900","49,450","583.60K","0.20%"
"19/05/2025","49,700","50,200","50,200","49,600","753.40K","-1.58%"
"16/05/2025","50,500","50,300","50,700","50,200","699.30K","0.40%"
"15/05/2025","50,300","49,500","50,600","49,500","1.28M","1.62%"
"14/05/2025","49,500","49,100","49,650","49,100","1.13M","0.51%"
"13/05/2025","49,250","49,600","49,600","49,200","1.01M","-0.40%"
"12/05/2025","49,450","49,200","49,500","49,000","1.23M","0.92%"
"09/05/2025","49,000","49,700","49,700","48,850","939.40K","0.93%"
"08/05/2025","48,550","48,100","48,750","48,100","858.20K","1.04%"
"07/05/2025","48,050","48,050","48,400","48,000","767.30K","0.42%"
"06/05/2025","47,850","48,450","48,450","47,750","789.50K","-0.10%"
"05/05/2025","47,900","47,900","48,150","47,150","1.25M","-0.42%"
"29/04/2025","48,100","50,800","50,800","48,100","4.41M","-6.05%"
"28/04/2025","51,200","49,450","51,300","49,250","1.97M","3.43%"
"25/04/2025","49,500","49,200","49,500","48,900","1.95M","0.61%"
"24/04/2025","49,200","49,000","49,350","48,800","1.70M","1.23%"
"23/04/2025","48,600","47,800","48,600","47,400","1.16M","4.29%"
"22/04/2025","46,600","47,000","47,500","45,000","1.20M","-1.06%"
"21/04/2025","47,100","47,300","47,600","47,100","472.50K","-0.53%"
"18/04/2025","47,350","47,400","48,000","47,200","845.00K","0.74%"
"17/04/2025","47,000","47,300","47,500","46,950","1.36M","-1.26%"
"16/04/2025","47,600","48,200","48,500","47,350","1.34M","-2.26%"
"15/04/2025","48,700","49,050","49,100","47,800","2.33M","-1.62%"
"14/04/2025","49,500","49,500","49,750","48,550","2.47M","1.02%"
"11/04/2025","49,000","48,000","49,600","47,150","4.01M","3.92%"
"10/04/2025","47,150","47,150","47,150","47,100","598.50K","6.92%"
"09/04/2025","44,100","41,500","44,600","41,500","3.15M","3.52%"
"08/04/2025","42,600","43,350","44,550","42,400","3.26M","-1.73%"
"04/04/2025","43,350","42,650","44,850","42,650","3.85M","-5.45%"
"03/04/2025","45,850","48,300","48,300","45,850","3.16M","-7.00%"
"02/04/2025","49,300","49,400","49,450","49,100","630.10K","-0.10%"
"01/04/2025","49,350","49,050","49,600","48,850","955.80K","0.92%"
"31/03/2025","48,900","49,250","49,400","48,900","1.13M","-0.81%"
"28/03/2025","49,300","49,600","49,700","49,200","1.14M","-0.50%"
"27/03/2025","49,550","49,550","49,700","49,450","988.30K","0.00%"
"26/03/2025","49,550","49,550","50,100","49,400","1.26M","0.00%"
"25/03/2025","49,550","50,100","50,200","49,550","1.60M","-0.70%"
"24/03/2025","49,900","50,300","50,400","49,900","1.55M","-0.80%"
"21/03/2025","50,300","50,800","50,800","50,300","1.20M","-0.59%"
"20/03/2025","50,600","50,900","51,100","50,500","1.38M","-0.39%"
"19/03/2025","50,800","51,300","51,300","50,800","2.19M","-0.59%"
"18/03/2025","51,100","51,600","51,900","51,100","1.62M","-0.97%"
"17/03/2025","51,600","52,000","52,100","51,400","738.90K","0.00%"
"14/03/2025","51,600","51,300","52,400","51,200","1.39M","0.98%"
"13/03/2025","51,100","51,100","51,500","51,000","1.13M","0.00%"
"12/03/2025","51,100","51,000","51,500","51,000","1.58M","-0.20%"
"11/03/2025","51,200","51,300","51,400","50,900","1.57M","-0.39%"
"10/03/2025","51,400","51,500","51,700","51,000","1.21M","0.39%"
"07/03/2025","51,200","51,900","52,000","51,100","1.42M","-0.39%"
"06/03/2025","51,400","51,800","51,900","51,300","1.21M","-0.77%"
"05/03/2025","51,800","52,000","52,100","51,600","480.30K","-0.38%"
"04/03/2025","52,000","51,700","52,100","51,500","736.10K","0.58%"
"03/03/2025","51,700","52,000","52,000","51,500","580.40K","0.39%"
"28/02/2025","51,500","52,000","52,300","51,500","928.90K","-1.34%"
"27/02/2025","52,200","52,200","52,300","51,800","457.20K","0.00%"
"26/02/2025","52,200","52,500","52,500","52,000","647.80K","-0.38%"
"25/02/2025","52,400","53,500","53,500","52,100","484.40K","0.00%"
"24/02/2025","52,400","51,800","52,400","51,800","713.80K","1.16%"
"21/02/2025","51,800","51,600","52,200","51,400","751.90K","0.78%"
"20/02/2025","51,400","51,500","51,600","51,300","580.30K","0.19%"
"19/02/2025","51,300","51,200","51,400","51,100","871.10K","0.20%"
"18/02/2025","51,200","51,100","51,500","51,000","489.70K","0.20%"
"17/02/2025","51,100","51,500","51,600","51,000","1.12M","-0.97%"
"14/02/2025","51,600","52,400","52,400","51,500","668.70K","-0.19%"
"13/02/2025","51,700","51,900","52,000","51,700","274.80K","-0.39%"
"12/02/2025","51,900","51,700","52,000","51,700","90.50K","0.58%"
"11/02/2025","51,600","52,100","52,200","51,500","747.00K","-1.15%"
"10/02/2025","52,200","52,200","52,400","52,000","645.10K","-0.38%"
"07/02/2025","52,400","52,700","52,800","52,300","768.40K","-0.57%"
"06/02/2025","52,700","53,200","53,200","52,700","352.60K","-0.75%"
"05/02/2025","53,100","52,800","53,100","52,700","269.80K","0.76%"
"04/02/2025","52,700","52,800","53,000","52,400","438.00K","0.00%"
"03/02/2025","52,700","53,600","53,800","52,600","598.20K","-2.04%"
"24/01/2025","53,800","53,700","54,100","53,700","302.90K","-0.37%"
"23/01/2025","54,000","54,000","54,100","53,600","235.10K","0.56%"
"22/01/2025","53,700","53,900","54,100","53,600","201.20K","0.19%"
"21/01/2025","53,600","54,400","54,400","53,500","257.90K","-0.92%"
"20/01/2025","54,100","53,600","54,200","53,600","200.40K","1.31%"
"17/01/2025","53,400","53,900","55,000","53,200","637.80K","-1.11%"
"16/01/2025","54,000","54,800","55,400","53,800","572.40K","-1.82%"
"15/01/2025","55,000","55,000","55,000","54,400","331.80K","0.92%"
"14/01/2025","54,500","54,000","54,500","54,000","329.20K","0.74%"
"13/01/2025","54,100","53,400","54,400","53,300","462.20K","0.93%"
"10/01/2025","53,600","53,600","54,000","53,600","475.60K","0.00%"
"09/01/2025","53,600","53,700","54,000","53,500","411.40K","-0.19%"
"08/01/2025","53,700","53,700","53,900","53,600","496.60K","0.00%"
"07/01/2025","53,700","53,700","54,200","53,700","403.60K","0.19%"
"06/01/2025","53,600","54,900","55,700","53,600","941.50K","-2.55%"
"03/01/2025","55,000","55,600","55,700","55,000","367.40K","-1.08%"
"02/01/2025","55,600","55,800","55,800","55,100","359.10K","0.18%"
"31/12/2024","55,500","55,900","55,900","55,500","366.00K","-1.07%"
"30/12/2024","56,100","55,700","56,100","55,200","478.70K","0.54%"
"27/12/2024","55,800","55,800","55,800","55,100","632.70K","0.18%"
