"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"22/09/2025","17,550.0","17,750.0","17,750.0","17,500.0","8.25M","-1.13%"
"19/09/2025","17,750.0","17,850.0","17,950.0","17,600.0","82.72M","-0.56%"
"18/09/2025","17,850.0","18,000.0","18,200.0","17,650.0","59.51M","-1.11%"
"17/09/2025","18,050.0","18,000.0","18,150.0","17,850.0","64.71M","-0.82%"
"16/09/2025","18,200.0","17,800.0","18,250.0","17,750.0","87.19M","2.25%"
"15/09/2025","17,800.0","17,550.0","17,950.0","17,300.0","93.17M","1.42%"
"12/09/2025","17,550.0","17,850.0","17,850.0","17,450.0","51.66M","-1.40%"
"11/09/2025","17,800.0","17,600.0","17,800.0","17,150.0","88.71M","0.00%"
"10/09/2025","17,800.0","17,700.0","17,800.0","17,350.0","52.45M","1.14%"
"09/09/2025","17,600.0","17,300.0","17,700.0","17,200.0","70.08M","2.03%"
"08/09/2025","17,250.0","17,800.0","17,950.0","17,200.0","124.53M","-4.17%"
"05/09/2025","18,000.0","19,050.0","19,100.0","17,900.0","131.95M","-4.51%"
"04/09/2025","18,850.0","19,100.0","19,200.0","18,800.0","89.13M","-1.05%"
"03/09/2025","19,050.0","18,950.0","19,100.0","18,500.0","95.66M","1.33%"
"29/08/2025","18,800.0","18,650.0","18,800.0","18,050.0","124.64M","2.17%"
"28/08/2025","18,400.0","17,700.0","18,550.0","17,450.0","152.82M","4.25%"
"27/08/2025","17,650.0","17,800.0","18,100.0","17,550.0","103.80M","1.44%"
"26/08/2025","17,400.0","16,200.0","17,400.0","16,200.0","86.34M","6.75%"
"25/08/2025","16,300.0","17,450.0","17,500.0","16,250.0","113.19M","-5.51%"
"22/08/2025","17,250.0","18,300.0","18,500.0","17,250.0","166.24M","-6.76%"
"21/08/2025","18,500.0","18,400.0","18,850.0","18,300.0","85.26M","1.09%"
"20/08/2025","18,300.0","18,400.0","18,500.0","17,500.0","162.56M","-1.08%"
"19/08/2025","18,500.0","18,500.0","19,100.0","18,400.0","134.08M","-1.86%"
"18/08/2025","18,850.0","19,300.0","19,450.0","18,800.0","103.91M","2.16%"
"15/08/2025","18,451.3","18,495.6","19,026.6","17,876.1","135.77M","2.21%"
"14/08/2025","18,053.1","17,300.9","18,274.3","17,256.6","134.76M","5.43%"
"13/08/2025","17,123.9","16,858.4","17,345.1","16,725.7","129.98M","2.38%"
"12/08/2025","16,725.7","17,079.7","17,079.7","16,637.2","74.68M","-1.05%"
"11/08/2025","16,902.7","16,637.2","17,168.1","16,460.2","128.80M","-9.37%"
"08/08/2025","18,650.0","19,000.0","19,350.0","18,500.0","94.65M","-1.06%"
"07/08/2025","18,850.0","19,000.0","19,400.0","18,450.0","92.39M","0.53%"
"06/08/2025","18,750.0","18,600.0","19,100.0","18,350.0","92.29M","2.18%"
"05/08/2025","18,350.0","19,600.0","19,700.0","17,500.0","176.22M","-1.34%"
"04/08/2025","18,600.0","17,400.0","18,600.0","17,400.0","91.14M","6.90%"
"01/08/2025","17,400.0","17,500.0","17,650.0","17,050.0","120.28M","1.16%"
"31/07/2025","17,200.0","17,150.0","17,200.0","16,600.0","181.31M","6.83%"
"30/07/2025","16,100.0","15,850.0","16,100.0","15,400.0","142.53M","6.98%"
"29/07/2025","15,050.0","16,500.0","16,650.0","15,050.0","152.87M","-6.52%"
"28/07/2025","16,100.0","15,150.0","16,100.0","15,150.0","137.75M","6.98%"
"25/07/2025","15,050.0","15,200.0","15,250.0","15,000.0","59.21M","0.00%"
"24/07/2025","15,050.0","14,650.0","15,450.0","14,600.0","93.43M","2.73%"
"23/07/2025","14,650.0","14,700.0","14,900.0","14,500.0","80.14M","0.34%"
"22/07/2025","14,600.0","14,600.0","14,650.0","14,400.0","63.42M","0.00%"
"21/07/2025","14,600.0","14,300.0","14,750.0","14,250.0","101.95M","2.82%"
"18/07/2025","14,200.0","14,350.0","14,500.0","14,100.0","78.34M","-0.70%"
"17/07/2025","14,300.0","14,300.0","14,450.0","14,150.0","66.95M","0.35%"
"16/07/2025","14,250.0","14,100.0","14,350.0","14,050.0","51.79M","1.06%"
"15/07/2025","14,100.0","14,150.0","14,500.0","14,100.0","77.81M","-0.35%"
"14/07/2025","14,150.0","14,250.0","14,300.0","13,950.0","45.61M","-0.35%"
"11/07/2025","14,200.0","14,400.0","14,400.0","14,100.0","68.51M","-1.05%"
"10/07/2025","14,350.0","14,050.0","14,400.0","13,950.0","77.62M","2.50%"
"09/07/2025","14,000.0","14,200.0","14,400.0","13,950.0","111.62M","-1.06%"
"08/07/2025","14,150.0","14,100.0","14,300.0","13,950.0","62.94M","1.80%"
"07/07/2025","13,900.0","13,000.0","13,900.0","13,000.0","249.68M","6.92%"
"04/07/2025","13,000.0","12,950.0","13,050.0","12,900.0","28.62M","0.00%"
"03/07/2025","13,000.0","12,950.0","13,100.0","12,850.0","52.33M","0.39%"
"02/07/2025","12,950.0","12,850.0","13,000.0","12,800.0","38.44M","0.78%"
"01/07/2025","12,850.0","12,900.0","12,950.0","12,750.0","47.36M","-0.39%"
"30/06/2025","12,900.0","12,950.0","13,000.0","12,900.0","32.60M","-0.39%"
"27/06/2025","12,950.0","13,100.0","13,300.0","12,900.0","88.86M","-1.15%"
"26/06/2025","13,100.0","13,050.0","13,100.0","12,900.0","42.89M","0.38%"
"25/06/2025","13,050.0","13,000.0","13,050.0","12,850.0","64.57M","0.38%"
"24/06/2025","13,000.0","13,050.0","13,100.0","12,950.0","38.11M","0.00%"
"23/06/2025","13,000.0","13,000.0","13,050.0","12,900.0","42.28M","-0.76%"
"20/06/2025","13,100.0","13,000.0","13,100.0","12,950.0","59.50M","0.77%"
"19/06/2025","13,000.0","13,100.0","13,350.0","13,000.0","51.35M","-1.14%"
"18/06/2025","13,150.0","13,150.0","13,200.0","13,050.0","49.66M","-0.38%"
"17/06/2025","13,200.0","13,100.0","13,200.0","13,050.0","38.60M","0.76%"
"16/06/2025","13,100.0","12,900.0","13,100.0","12,850.0","36.54M","1.55%"
"13/06/2025","12,900.0","13,150.0","13,150.0","12,800.0","66.94M","-3.01%"
"12/06/2025","13,300.0","13,250.0","13,650.0","13,150.0","115.56M","0.00%"
"11/06/2025","13,300.0","13,150.0","13,350.0","13,000.0","49.39M","1.14%"
"10/06/2025","13,150.0","13,000.0","13,200.0","12,950.0","53.43M","0.77%"
"09/06/2025","13,050.0","13,200.0","13,250.0","12,900.0","50.89M","-1.14%"
"06/06/2025","13,200.0","13,200.0","13,296.4","13,055.5","42.66M","0.00%"
"05/06/2025","13,200.0","13,248.2","13,296.4","13,151.8","33.52M","-0.72%"
"04/06/2025","13,296.4","13,392.7","13,585.4","13,296.4","53.77M","-0.72%"
