"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"22/09/2025","19,450.00","19,600.00","19,850.00","19,300.00","759.50K","-0.77%"
"19/09/2025","19,600.00","19,950.00","20,000.00","19,600.00","2.23M","-2.00%"
"18/09/2025","20,000.00","20,100.00","20,150.00","19,550.00","2.47M","-0.50%"
"17/09/2025","20,100.00","19,950.00","20,200.00","19,800.00","2.91M","0.50%"
"16/09/2025","20,000.00","20,000.00","20,100.00","19,650.00","3.09M","0.76%"
"15/09/2025","19,850.00","19,900.00","19,900.00","19,600.00","2.67M","1.02%"
"12/09/2025","19,650.00","20,100.00","20,250.00","19,600.00","2.54M","-2.24%"
"11/09/2025","20,100.00","20,000.00","20,300.00","19,200.00","2.72M","0.75%"
"10/09/2025","19,950.00","19,750.00","20,100.00","19,750.00","2.50M","1.53%"
"09/09/2025","19,650.00","19,950.00","20,200.00","19,600.00","2.87M","-1.50%"
"08/09/2025","19,950.00","21,050.00","21,150.00","19,950.00","3.58M","-5.00%"
"05/09/2025","21,000.00","21,650.00","21,950.00","21,000.00","3.37M","-3.00%"
"04/09/2025","21,650.00","21,400.00","21,650.00","21,200.00","2.61M","2.36%"
"03/09/2025","21,150.00","21,100.00","21,500.00","21,050.00","2.67M","-1.17%"
"29/08/2025","21,400.00","21,650.00","21,800.00","21,200.00","2.96M","-0.47%"
"28/08/2025","21,500.00","21,300.00","21,650.00","20,800.00","2.66M","0.47%"
"27/08/2025","21,400.00","21,800.00","21,850.00","21,100.00","3.03M","-1.83%"
"26/08/2025","21,800.00","20,700.00","21,800.00","20,200.00","2.77M","5.06%"
"25/08/2025","20,750.00","22,550.00","22,550.00","20,700.00","4.14M","-6.11%"
"22/08/2025","22,100.00","23,100.00","23,800.00","21,900.00","5.14M","-4.33%"
"21/08/2025","23,100.00","21,900.00","23,100.00","21,600.00","4.81M","6.94%"
"20/08/2025","21,600.00","20,700.00","21,600.00","20,400.00","6.44M","4.35%"
"19/08/2025","20,700.00","20,600.00","20,800.00","20,300.00","3.54M","0.49%"
"18/08/2025","20,600.00","20,700.00","20,800.00","20,250.00","3.33M","-0.24%"
"15/08/2025","20,650.00","21,900.00","21,900.00","20,550.00","5.45M","-0.72%"
"14/08/2025","20,800.00","20,250.00","20,800.00","19,950.00","5.19M","4.26%"
"13/08/2025","19,950.00","20,400.00","20,450.00","19,850.00","4.28M","-2.21%"
"12/08/2025","20,400.00","20,500.00","20,550.00","20,100.00","4.14M","-0.49%"
"11/08/2025","20,500.00","20,100.00","20,600.00","20,000.00","5.10M","1.99%"
"08/08/2025","20,100.00","19,900.00","20,100.00","19,800.00","3.83M","1.52%"
"07/08/2025","19,800.00","20,050.00","20,200.00","19,600.00","4.21M","-1.00%"
"06/08/2025","20,000.00","19,800.00","20,500.00","19,700.00","4.51M","2.04%"
"05/08/2025","19,600.00","20,250.00","20,850.00","19,500.00","4.15M","-3.21%"
"04/08/2025","20,250.00","19,850.00","20,250.00","19,150.00","2.96M","3.32%"
"01/08/2025","19,600.00","20,850.00","20,850.00","19,600.00","4.12M","0.51%"
"31/07/2025","19,500.00","19,550.00","20,150.00","19,500.00","2.88M","1.30%"
"30/07/2025","19,250.00","19,850.00","20,250.00","19,100.00","2.63M","-3.27%"
"29/07/2025","19,900.00","20,700.00","21,150.00","19,900.00","2.38M","-5.69%"
"28/07/2025","21,100.00","20,900.00","21,150.00","20,500.00","3.19M","1.93%"
"25/07/2025","20,700.00","19,950.00","20,950.00","19,950.00","2.94M","3.76%"
"24/07/2025","19,950.00","19,900.00","20,100.00","19,800.00","1.94M","0.50%"
"23/07/2025","19,850.00","20,000.00","20,100.00","19,750.00","2.40M","-0.75%"
"22/07/2025","20,000.00","20,050.00","20,050.00","19,500.00","3.37M","0.50%"
"21/07/2025","19,900.00","19,800.00","19,950.00","19,600.00","2.56M","0.51%"
"18/07/2025","19,800.00","19,950.00","20,000.00","19,650.00","2.33M","-1.00%"
"17/07/2025","20,000.00","19,500.00","20,000.00","19,300.00","2.83M","3.09%"
"16/07/2025","19,400.00","19,250.00","19,400.00","19,200.00","2.43M","0.52%"
"15/07/2025","19,300.00","19,300.00","19,300.00","19,100.00","2.19M","0.26%"
"14/07/2025","19,250.00","19,350.00","19,350.00","19,050.00","2.32M","-0.26%"
"11/07/2025","19,300.00","19,250.00","19,400.00","19,050.00","2.51M","0.52%"
"10/07/2025","19,200.00","19,150.00","19,200.00","19,000.00","2.57M","0.52%"
"09/07/2025","19,100.00","18,900.00","19,100.00","18,850.00","2.52M","1.06%"
"08/07/2025","18,900.00","18,850.00","19,000.00","18,700.00","2.22M","0.00%"
"07/07/2025","18,900.00","18,500.00","18,900.00","18,500.00","2.65M","2.16%"
"04/07/2025","18,500.00","18,400.00","18,500.00","18,250.00","2.06M","1.09%"
"03/07/2025","18,300.00","18,150.00","18,350.00","18,050.00","2.14M","0.83%"
