"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"22/09/2025","40,350.0","40,500.0","40,750.0","40,300.0","6.66M","0.00%"
"19/09/2025","40,350.0","41,000.0","41,250.0","40,350.0","27.87M","-1.10%"
"18/09/2025","40,800.0","40,850.0","41,400.0","40,300.0","26.36M","0.49%"
"17/09/2025","40,600.0","41,400.0","41,650.0","40,500.0","37.92M","-2.40%"
"16/09/2025","41,600.0","43,000.0","43,000.0","41,600.0","37.92M","-1.42%"
"15/09/2025","42,200.0","42,100.0","42,650.0","41,450.0","40.52M","0.72%"
"12/09/2025","41,900.0","42,850.0","42,900.0","41,550.0","34.56M","-1.30%"
"11/09/2025","42,450.0","41,800.0","42,600.0","39,800.0","85.92M","0.00%"
"10/09/2025","42,450.0","42,800.0","43,400.0","41,650.0","43.28M","1.07%"
"09/09/2025","42,000.0","40,550.0","42,000.0","39,300.0","52.00M","4.48%"
"08/09/2025","40,200.0","40,300.0","41,600.0","40,100.0","72.15M","-0.74%"
"05/09/2025","40,500.0","42,750.0","43,400.0","40,500.0","51.53M","-4.26%"
"04/09/2025","42,300.0","41,600.0","42,600.0","41,150.0","33.21M","2.30%"
"03/09/2025","41,350.0","42,200.0","42,650.0","40,900.0","54.13M","-2.01%"
"29/08/2025","42,200.0","42,950.0","44,150.0","42,200.0","52.46M","0.48%"
"28/08/2025","42,000.0","40,500.0","42,000.0","40,150.0","54.93M","4.35%"
"27/08/2025","40,250.0","40,450.0","41,200.0","40,100.0","59.66M","2.68%"
"26/08/2025","39,200.0","36,550.0","39,200.0","36,150.0","94.36M","6.96%"
"25/08/2025","36,650.0","36,400.0","37,800.0","35,850.0","69.35M","2.52%"
"22/08/2025","35,750.0","36,450.0","36,800.0","35,350.0","63.81M","-3.51%"
"21/08/2025","37,050.0","36,200.0","37,900.0","36,100.0","72.28M","2.63%"
"20/08/2025","36,100.0","36,750.0","36,800.0","34,500.0","60.34M","-1.77%"
"19/08/2025","36,750.0","35,500.0","37,300.0","35,500.0","59.11M","2.65%"
"18/08/2025","35,800.0","36,600.0","36,800.0","35,650.0","50.23M","-2.05%"
"15/08/2025","36,550.0","37,400.0","37,550.0","36,250.0","58.50M","-0.68%"
"14/08/2025","36,800.0","37,000.0","37,800.0","36,100.0","70.44M","0.14%"
"13/08/2025","36,750.0","37,050.0","37,150.0","35,600.0","67.78M","0.00%"
"12/08/2025","36,750.0","37,900.0","37,950.0","36,400.0","45.37M","-2.00%"
"11/08/2025","37,500.0","35,800.0","37,750.0","35,300.0","59.26M","5.63%"
"08/08/2025","35,500.0","35,700.0","37,200.0","35,100.0","95.43M","1.00%"
"07/08/2025","35,150.0","35,800.0","35,800.0","34,750.0","37.11M","-0.42%"
"06/08/2025","35,300.0","34,750.0","35,300.0","34,400.0","50.09M","1.88%"
"05/08/2025","34,650.0","34,400.0","35,900.0","32,500.0","91.93M","1.91%"
"04/08/2025","34,000.0","32,500.0","34,000.0","32,400.0","56.73M","2.41%"
"01/08/2025","33,200.0","34,000.0","34,800.0","33,100.0","56.68M","-2.92%"
"31/07/2025","34,200.0","34,100.0","34,600.0","33,100.0","49.38M","0.88%"
"30/07/2025","33,900.0","33,600.0","34,150.0","32,700.0","62.74M","1.80%"
"29/07/2025","33,300.0","36,100.0","36,200.0","33,300.0","105.00M","-6.98%"
"28/07/2025","35,800.0","34,800.0","35,850.0","34,450.0","49.58M","5.29%"
"25/07/2025","34,000.0","32,150.0","34,100.0","32,000.0","62.12M","6.25%"
"24/07/2025","32,000.0","32,300.0","32,350.0","31,350.0","43.19M","-0.78%"
"23/07/2025","32,250.0","32,300.0","33,350.0","31,900.0","43.85M","0.78%"
"22/07/2025","32,000.0","31,000.0","32,000.0","30,550.0","61.72M","2.07%"
"21/07/2025","31,350.0","32,050.0","32,100.0","30,800.0","55.03M","-1.42%"
"18/07/2025","31,800.0","32,050.0","32,300.0","31,500.0","38.37M","-0.31%"
"17/07/2025","31,900.0","32,000.0","32,100.0","31,350.0","49.67M","0.95%"
"16/07/2025","31,600.0","30,500.0","31,900.0","30,300.0","47.11M","3.61%"
"15/07/2025","30,500.0","29,800.0","31,800.0","29,650.0","62.85M","2.52%"
"14/07/2025","29,750.0","29,800.0","29,950.0","29,000.0","51.46M","0.34%"
"11/07/2025","29,650.0","28,950.0","30,000.0","28,950.0","62.93M","2.42%"
"10/07/2025","28,950.0","28,900.0","29,150.0","28,600.0","51.77M","1.40%"
"09/07/2025","28,550.0","27,250.0","28,850.0","27,250.0","72.54M","5.55%"
"08/07/2025","27,050.0","26,400.0","27,150.0","26,250.0","65.01M","2.85%"
"07/07/2025","26,300.0","26,200.0","26,450.0","26,050.0","33.31M","1.54%"
"04/07/2025","25,900.0","25,900.0","26,150.0","25,600.0","21.02M","0.58%"
"03/07/2025","25,750.0","25,500.0","26,300.0","25,150.0","58.32M","0.98%"
"02/07/2025","25,500.0","24,400.0","25,800.0","24,350.0","41.27M","4.29%"
"01/07/2025","24,450.0","24,750.0","24,800.0","24,350.0","15.14M","-1.01%"
"30/06/2025","24,700.0","25,000.0","25,150.0","24,700.0","26.59M","0.20%"
"27/06/2025","24,650.0","24,600.0","24,850.0","24,450.0","19.51M","0.61%"
"26/06/2025","24,500.0","24,500.0","24,600.0","24,150.0","18.42M","0.00%"
"25/06/2025","24,500.0","24,350.0","24,800.0","24,200.0","25.86M","0.82%"
"24/06/2025","24,300.0","24,150.0","24,550.0","24,000.0","48.49M","2.32%"
"23/06/2025","23,750.0","23,700.0","23,850.0","23,550.0","15.66M","-1.04%"
"20/06/2025","24,000.0","24,050.0","24,350.0","23,850.0","25.09M","0.42%"
"19/06/2025","23,900.0","23,600.0","23,950.0","23,500.0","19.69M","1.27%"
"18/06/2025","23,600.0","23,850.0","23,950.0","23,600.0","21.79M","-1.05%"
"17/06/2025","23,850.0","23,900.0","23,950.0","23,650.0","16.35M","0.00%"
"16/06/2025","23,850.0","23,100.0","23,850.0","23,100.0","16.82M","3.02%"
"13/06/2025","23,150.0","23,500.0","23,550.0","23,050.0","35.04M","-2.11%"
"12/06/2025","23,650.0","23,600.0","23,850.0","23,550.0","13.81M","0.64%"
"11/06/2025","23,500.0","23,400.0","23,600.0","23,350.0","12.90M","0.64%"
"10/06/2025","23,350.0","23,400.0","23,550.0","23,300.0","13.48M","0.00%"
"09/06/2025","23,350.0","23,650.0","23,700.0","23,350.0","15.70M","-1.06%"
"06/06/2025","23,600.0","23,900.0","24,000.0","23,600.0","28.03M","-1.46%"
"05/06/2025","23,950.0","24,200.0","24,300.0","23,900.0","24.66M","-1.03%"
"04/06/2025","24,200.0","24,700.0","24,700.0","24,150.0","19.44M","-1.22%"
"03/06/2025","24,500.0","24,100.0","24,850.0","24,100.0","58.59M","3.38%"
"02/06/2025","23,700.0","23,350.0","23,700.0","23,350.0","12.06M","1.07%"
"30/05/2025","23,450.0","23,500.0","23,950.0","23,400.0","19.75M","-0.21%"
"29/05/2025","23,500.0","23,850.0","23,900.0","23,500.0","14.89M","-0.84%"
"28/05/2025","23,700.0","23,950.0","24,200.0","23,550.0","24.60M","0.00%"
"27/05/2025","23,700.0","23,700.0","24,000.0","23,500.0","24.42M","0.42%"
"26/05/2025","23,600.0","23,450.0","23,600.0","22,800.0","20.91M","1.07%"
"23/05/2025","23,350.0","23,400.0","23,550.0","23,250.0","16.23M","0.00%"
"22/05/2025","23,350.0","23,350.0","23,900.0","23,250.0","27.66M","0.00%"
"21/05/2025","23,350.0","23,550.0","23,700.0","23,250.0","24.38M","-0.64%"
"20/05/2025","23,500.0","23,400.0","23,650.0","23,300.0","15.34M","0.64%"
"19/05/2025","23,350.0","23,550.0","23,700.0","23,350.0","19.74M","-1.48%"
"16/05/2025","23,700.0","23,950.0","24,400.0","23,700.0","30.22M","-0.84%"
"15/05/2025","23,900.0","24,150.0","24,250.0","23,850.0","23.85M","0.00%"
"14/05/2025","23,900.0","23,450.0","24,200.0","23,300.0","36.62M","2.14%"
"13/05/2025","23,400.0","23,550.0","23,900.0","23,350.0","25.55M","0.86%"
"12/05/2025","23,200.0","23,100.0","23,200.0","22,850.0","20.02M","1.09%"
"09/05/2025","22,950.0","23,200.0","23,300.0","22,900.0","15.34M","-0.65%"
"08/05/2025","23,100.0","22,950.0","23,300.0","22,750.0","18.52M","1.09%"
"07/05/2025","22,850.0","23,150.0","23,150.0","22,750.0","18.89M","-1.30%"
"06/05/2025","23,150.0","23,200.0","23,500.0","23,100.0","16.48M","0.22%"
"05/05/2025","23,100.0","23,400.0","23,450.0","23,000.0","9.31M","0.65%"
"29/04/2025","22,950.0","23,150.0","23,150.0","22,950.0","9.78M","-0.43%"
"28/04/2025","23,050.0","22,900.0","23,150.0","22,800.0","12.06M","1.10%"
"25/04/2025","22,800.0","23,200.0","23,200.0","22,800.0","15.31M","-0.87%"
"24/04/2025","23,000.0","22,900.0","23,150.0","22,650.0","17.95M","1.10%"
"23/04/2025","22,750.0","22,950.0","22,950.0","22,600.0","13.49M","2.25%"
"22/04/2025","22,250.0","22,500.0","22,900.0","21,300.0","48.46M","-2.84%"
"21/04/2025","22,900.0","23,400.0","23,500.0","22,850.0","18.53M","-1.93%"
"18/04/2025","23,350.0","23,300.0","23,950.0","23,250.0","26.36M","1.08%"
