"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"22/09/2025","54,700.0","55,500.0","55,700.0","54,600.0","1.54M","-0.91%"
"19/09/2025","55,200.0","57,400.0","57,500.0","55,200.0","14.99M","-3.16%"
"18/09/2025","57,000.0","56,500.0","57,300.0","55,800.0","8.19M","1.42%"
"17/09/2025","56,200.0","56,300.0","56,600.0","55,500.0","8.28M","0.18%"
"16/09/2025","56,100.0","56,400.0","56,900.0","55,900.0","6.63M","0.18%"
"15/09/2025","56,000.0","55,200.0","56,000.0","54,500.0","8.93M","1.08%"
"12/09/2025","55,400.0","55,900.0","55,900.0","55,100.0","6.40M","0.00%"
"11/09/2025","55,400.0","54,200.0","55,700.0","52,600.0","12.85M","2.78%"
"10/09/2025","53,900.0","54,500.0","54,900.0","53,400.0","7.47M","-0.55%"
"09/09/2025","54,200.0","53,900.0","54,300.0","53,100.0","6.24M","0.37%"
"08/09/2025","54,000.0","55,700.0","56,200.0","53,900.0","11.40M","-3.57%"
"05/09/2025","56,000.0","56,900.0","57,100.0","54,800.0","11.30M","-0.71%"
"04/09/2025","56,400.0","56,700.0","56,800.0","55,700.0","7.72M","0.18%"
"03/09/2025","56,300.0","56,000.0","56,300.0","55,200.0","7.51M","1.26%"
"29/08/2025","55,600.0","55,200.0","55,800.0","54,300.0","13.87M","1.46%"
"28/08/2025","54,800.0","55,900.0","56,200.0","54,400.0","8.39M","-1.44%"
"27/08/2025","55,600.0","55,300.0","56,400.0","54,100.0","15.92M","1.09%"
"26/08/2025","55,000.0","52,500.0","55,000.0","52,400.0","12.29M","3.77%"
"25/08/2025","53,000.0","56,200.0","56,500.0","51,700.0","22.72M","-4.50%"
"22/08/2025","55,500.0","57,400.0","59,100.0","54,600.0","21.58M","-3.98%"
"21/08/2025","57,800.0","54,800.0","57,800.0","54,700.0","26.95M","6.84%"
"20/08/2025","54,100.0","53,400.0","54,400.0","51,700.0","25.01M","1.69%"
"19/08/2025","53,200.0","52,700.0","53,900.0","52,300.0","10.62M","0.76%"
"18/08/2025","52,800.0","53,900.0","53,900.0","52,200.0","12.87M","-2.04%"
"15/08/2025","53,900.0","55,900.0","56,000.0","53,000.0","13.25M","-2.71%"
"14/08/2025","55,400.0","54,300.0","56,300.0","53,700.0","16.18M","2.78%"
"13/08/2025","53,900.0","54,400.0","54,400.0","52,900.0","8.81M","-0.19%"
"12/08/2025","54,000.0","53,600.0","54,800.0","53,000.0","7.09M","0.56%"
"11/08/2025","53,700.0","53,600.0","53,800.0","52,700.0","11.10M","-0.56%"
"08/08/2025","54,000.0","54,400.0","54,400.0","52,500.0","15.42M","-1.10%"
"07/08/2025","54,600.0","54,800.0","55,200.0","52,900.0","14.25M","0.92%"
"06/08/2025","54,100.0","52,600.0","54,100.0","52,200.0","12.20M","4.64%"
"05/08/2025","51,700.0","50,400.0","53,500.0","49,650.0","34.97M","3.40%"
"04/08/2025","50,000.0","48,900.0","50,000.0","48,500.0","10.26M","1.21%"
"01/08/2025","49,400.0","50,300.0","50,800.0","49,100.0","13.98M","-1.10%"
"31/07/2025","49,950.0","49,900.0","50,700.0","49,250.0","18.16M","1.32%"
"30/07/2025","49,300.0","48,850.0","50,300.0","48,100.0","17.25M","2.71%"
"29/07/2025","48,000.0","49,100.0","50,800.0","48,000.0","24.14M","-2.24%"
"28/07/2025","49,100.0","48,800.0","49,300.0","48,350.0","15.10M","0.61%"
"25/07/2025","48,800.0","49,450.0","49,500.0","48,800.0","7.95M","-0.41%"
"24/07/2025","49,000.0","48,800.0","49,500.0","48,500.0","10.17M","0.62%"
"23/07/2025","48,700.0","49,700.0","49,700.0","48,500.0","15.21M","-1.62%"
"22/07/2025","49,500.0","49,200.0","49,500.0","48,700.0","9.54M","0.00%"
"21/07/2025","49,500.0","50,700.0","50,800.0","49,150.0","10.53M","-1.39%"
"18/07/2025","50,200.0","48,000.0","50,500.0","47,400.0","26.07M","5.24%"
"17/07/2025","47,700.0","48,050.0","48,400.0","47,600.0","9.05M","-0.21%"
"16/07/2025","47,800.0","47,800.0","48,150.0","47,250.0","9.53M","0.21%"
"15/07/2025","47,700.0","48,200.0","49,200.0","47,700.0","9.83M","-0.52%"
"14/07/2025","47,950.0","47,750.0","48,100.0","47,200.0","8.66M","0.63%"
"11/07/2025","47,650.0","47,800.0","48,500.0","47,350.0","10.78M","0.00%"
"10/07/2025","47,650.0","47,900.0","47,900.0","47,250.0","8.38M","-0.31%"
"09/07/2025","47,800.0","48,000.0","48,100.0","47,350.0","9.78M","0.31%"
"08/07/2025","47,650.0","47,700.0","48,050.0","47,200.0","6.02M","0.21%"
"07/07/2025","47,550.0","47,100.0","48,500.0","47,100.0","8.25M","1.06%"
