"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"22/09/2025","18,700.0","18,700.0","18,850.0","18,600.0","1.63M","0.54%"
"19/09/2025","18,600.0","18,900.0","19,150.0","18,600.0","12.25M","-1.33%"
"18/09/2025","18,850.0","19,300.0","19,450.0","18,700.0","18.51M","-2.33%"
"17/09/2025","19,300.0","19,650.0","19,700.0","19,300.0","10.74M","-1.78%"
"16/09/2025","19,650.0","19,950.0","20,050.0","19,500.0","14.88M","-0.76%"
"15/09/2025","19,800.0","19,550.0","19,900.0","19,450.0","13.10M","1.54%"
"12/09/2025","19,500.0","19,800.0","19,800.0","19,350.0","13.55M","-0.76%"
"11/09/2025","19,650.0","19,150.0","19,700.0","18,400.0","33.08M","2.34%"
"10/09/2025","19,200.0","19,550.0","19,750.0","19,100.0","20.20M","-1.29%"
"09/09/2025","19,450.0","19,450.0","19,600.0","19,050.0","21.85M","0.52%"
"08/09/2025","19,350.0","20,200.0","20,550.0","19,350.0","54.20M","-6.07%"
"05/09/2025","20,600.0","21,600.0","21,850.0","20,600.0","47.07M","-4.19%"
"04/09/2025","21,500.0","21,350.0","21,700.0","21,050.0","37.88M","2.14%"
"03/09/2025","21,050.0","20,950.0","21,150.0","20,700.0","27.32M","0.72%"
"29/08/2025","20,900.0","21,000.0","21,400.0","20,650.0","47.74M","0.48%"
"28/08/2025","20,800.0","20,500.0","21,000.0","20,150.0","38.28M","2.97%"
"27/08/2025","20,200.0","21,300.0","21,650.0","20,050.0","54.26M","-3.58%"
"26/08/2025","20,950.0","19,500.0","21,050.0","19,300.0","49.48M","4.23%"
"25/08/2025","20,100.0","21,600.0","21,800.0","20,100.0","59.49M","-6.94%"
"22/08/2025","21,600.0","22,000.0","22,800.0","20,550.0","80.69M","-2.04%"
"21/08/2025","22,050.0","21,000.0","22,050.0","20,650.0","114.49M","6.78%"
"20/08/2025","20,650.0","21,500.0","21,550.0","19,800.0","55.89M","-2.82%"
"19/08/2025","21,250.0","20,300.0","21,250.0","20,150.0","70.60M","5.46%"
"18/08/2025","20,150.0","19,500.0","20,600.0","19,250.0","50.41M","3.33%"
"15/08/2025","19,500.0","20,050.0","20,050.0","19,200.0","44.70M","-1.52%"
"14/08/2025","19,800.0","19,150.0","20,350.0","19,150.0","71.65M","3.39%"
"13/08/2025","19,150.0","19,200.0","19,500.0","18,550.0","43.13M","-0.26%"
"12/08/2025","19,200.0","19,700.0","19,800.0","18,950.0","41.38M","-1.79%"
"11/08/2025","19,550.0","19,400.0","19,700.0","18,850.0","60.92M","1.03%"
"08/08/2025","19,350.0","19,750.0","20,100.0","19,100.0","43.59M","-0.51%"
"07/08/2025","19,450.0","18,350.0","19,450.0","18,000.0","73.65M","6.87%"
"06/08/2025","18,200.0","18,100.0","18,800.0","17,800.0","52.73M","3.41%"
"05/08/2025","17,600.0","17,450.0","17,900.0","16,850.0","95.59M","5.07%"
"04/08/2025","16,750.0","15,500.0","16,750.0","15,500.0","58.13M","6.69%"
"01/08/2025","15,700.0","15,700.0","15,750.0","15,350.0","20.59M","0.00%"
"31/07/2025","15,700.0","16,050.0","16,100.0","15,450.0","19.58M","-1.26%"
"30/07/2025","15,900.0","15,400.0","16,000.0","15,300.0","28.36M","3.92%"
"29/07/2025","15,300.0","16,600.0","16,600.0","15,300.0","48.78M","-6.99%"
"28/07/2025","16,450.0","15,650.0","16,500.0","15,600.0","42.09M","5.45%"
"25/07/2025","15,600.0","15,750.0","15,800.0","15,500.0","23.92M","0.00%"
"24/07/2025","15,600.0","15,400.0","15,900.0","15,400.0","28.83M","1.30%"
"23/07/2025","15,400.0","15,450.0","15,550.0","15,250.0","27.10M","0.65%"
"22/07/2025","15,300.0","15,050.0","15,450.0","14,850.0","28.51M","1.32%"
"21/07/2025","15,100.0","15,250.0","15,300.0","15,050.0","21.26M","0.00%"
"18/07/2025","15,100.0","14,950.0","15,350.0","14,850.0","26.88M","1.34%"
"17/07/2025","14,900.0","15,000.0","15,150.0","14,800.0","19.29M","0.00%"
"16/07/2025","14,900.0","14,700.0","14,900.0","14,700.0","15.93M","1.02%"
"15/07/2025","14,750.0","14,950.0","15,100.0","14,750.0","19.48M","-1.01%"
