"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"22/09/2025","20,200","20,150","20,300","20,150","1.18M","-0.49%"
"19/09/2025","20,300","20,600","20,600","20,100","8.38M","-1.22%"
"18/09/2025","20,550","20,800","20,850","20,250","7.86M","-0.48%"
"17/09/2025","20,650","21,050","21,200","20,600","11.16M","-1.90%"
"16/09/2025","21,050","21,550","21,700","21,000","24.49M","-1.86%"
"15/09/2025","21,450","21,400","21,650","21,100","11.20M","0.94%"
"12/09/2025","21,250","21,100","21,350","20,900","8.41M","1.19%"
"11/09/2025","21,000","20,900","21,050","20,100","11.14M","0.48%"
"10/09/2025","20,900","21,100","21,200","20,700","8.74M","-0.71%"
"09/09/2025","21,050","20,950","21,150","20,600","10.44M","0.24%"
"08/09/2025","21,000","21,900","22,100","21,000","23.18M","-5.62%"
"05/09/2025","22,250","23,200","23,250","22,250","17.33M","-3.05%"
"04/09/2025","22,950","22,750","23,450","22,750","18.32M","1.32%"
"03/09/2025","22,650","22,600","22,700","22,100","12.39M","0.22%"
"29/08/2025","22,600","22,450","23,000","22,150","19.81M","2.03%"
"28/08/2025","22,150","22,400","22,450","21,950","16.46M","-0.89%"
"27/08/2025","22,350","22,750","23,300","22,350","21.03M","-1.76%"
"26/08/2025","22,750","22,000","22,750","21,650","24.67M","3.64%"
"25/08/2025","21,950","23,850","24,300","21,950","42.07M","-6.99%"
"22/08/2025","23,600","24,500","24,800","22,050","62.49M","0.85%"
"21/08/2025","23,400","23,400","23,400","23,150","20.56M","6.85%"
"20/08/2025","21,900","20,800","21,900","20,350","70.28M","6.83%"
"19/08/2025","20,500","20,100","20,600","20,100","18.16M","1.99%"
"18/08/2025","20,100","20,500","20,500","20,000","10.07M","-1.23%"
"15/08/2025","20,350","20,650","20,850","20,100","20.24M","-0.49%"
"14/08/2025","20,450","20,250","20,650","19,950","23.97M","2.51%"
"13/08/2025","19,950","20,050","20,100","19,550","19.01M","0.25%"
"12/08/2025","19,900","20,500","20,500","19,750","16.54M","-1.97%"
"11/08/2025","20,300","20,450","20,850","20,250","15.13M","0.25%"
"08/08/2025","20,250","19,750","20,500","19,750","26.05M","3.58%"
"07/08/2025","19,550","19,600","19,600","19,250","18.68M","0.26%"
"06/08/2025","19,500","19,500","19,600","19,300","11.13M","1.04%"
"05/08/2025","19,300","19,550","20,100","18,000","28.67M","-0.26%"
"04/08/2025","19,350","19,000","19,350","18,750","11.49M","1.84%"
"01/08/2025","19,000","19,550","19,600","18,400","30.98M","-2.06%"
"31/07/2025","19,400","19,500","19,700","19,250","21.20M","0.26%"
"30/07/2025","19,350","18,700","19,500","18,650","34.14M","4.31%"
"29/07/2025","18,550","19,050","19,550","18,500","43.17M","-1.59%"
"28/07/2025","18,850","18,500","18,900","18,500","30.40M","2.45%"
"25/07/2025","18,400","18,450","18,550","18,200","20.59M","0.27%"
"24/07/2025","18,350","18,000","18,550","17,950","25.85M","3.09%"
"23/07/2025","17,800","17,550","17,850","17,400","21.08M","2.30%"
"22/07/2025","17,400","17,350","17,450","17,250","14.39M","0.29%"
"21/07/2025","17,350","17,200","17,500","17,050","16.03M","1.46%"
"18/07/2025","17,100","17,050","17,250","17,000","11.83M","0.29%"
"17/07/2025","17,050","17,150","17,250","17,000","11.97M","0.71%"
"16/07/2025","16,930","16,974","17,018","16,886","16.34M","-0.26%"
"15/07/2025","16,974","17,018","17,149","16,974","17.76M","-0.26%"
"14/07/2025","17,018","17,018","17,149","16,711","8.85M","0.26%"
"11/07/2025","16,974","16,798","17,061","16,711","14.28M","1.31%"
"10/07/2025","16,754","16,886","16,886","16,667","6.24M","-0.26%"
"09/07/2025","16,798","16,579","16,886","16,535","15.74M","1.86%"
"08/07/2025","16,491","16,535","16,579","16,404","7.72M","0.53%"
"07/07/2025","16,404","16,272","16,491","16,184","11.83M","1.63%"
"04/07/2025","16,140","16,184","16,184","16,053","4.93M","0.27%"
