"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"22/09/2025","1,841.40","1,860.40","1,867.50","1,838.82","55.92M","-0.97%"
"19/09/2025","1,859.53","1,861.74","1,874.40","1,838.21","370.11M","-0.12%"
"18/09/2025","1,861.74","1,868.85","1,879.52","1,833.16","371.25M","-0.38%"
"17/09/2025","1,868.85","1,875.39","1,884.67","1,859.36","435.57M","-0.35%"
"16/09/2025","1,875.39","1,876.75","1,893.36","1,864.51","558.54M","-0.07%"
"15/09/2025","1,876.75","1,865.45","1,876.75","1,857.47","489.16M","0.61%"
"12/09/2025","1,865.45","1,855.08","1,880.79","1,843.87","393.56M","0.56%"
"11/09/2025","1,855.08","1,828.63","1,860.19","1,785.47","520.64M","1.45%"
"10/09/2025","1,828.63","1,825.17","1,845.53","1,811.28","352.32M","0.19%"
"09/09/2025","1,825.17","1,807.22","1,825.17","1,795.82","428.77M","0.99%"
"08/09/2025","1,807.22","1,845.48","1,849.12","1,804.60","743.80M","-2.07%"
"05/09/2025","1,845.48","1,883.59","1,901.66","1,838.57","650.75M","-2.02%"
"04/09/2025","1,883.59","1,859.59","1,883.96","1,850.15","540.57M","1.29%"
"03/09/2025","1,859.59","1,865.38","1,876.63","1,846.08","529.94M","-0.31%"
"29/08/2025","1,865.38","1,861.20","1,890.36","1,855.28","635.73M","0.22%"
"28/08/2025","1,861.20","1,848.55","1,866.18","1,831.79","526.44M","0.68%"
"27/08/2025","1,848.55","1,849.05","1,877.27","1,841.13","633.61M","-0.03%"
"26/08/2025","1,849.05","1,783.12","1,850.00","1,769.54","568.35M","3.70%"
"25/08/2025","1,783.12","1,814.02","1,835.85","1,774.84","697.78M","-1.70%"
"22/08/2025","1,814.02","1,874.91","1,882.23","1,794.97","967.40M","-3.25%"
"21/08/2025","1,874.91","1,828.46","1,881.90","1,828.46","751.15M","2.54%"
"20/08/2025","1,828.46","1,810.46","1,833.84","1,768.90","906.98M","0.99%"
"19/08/2025","1,810.46","1,786.37","1,824.81","1,786.37","661.47M","1.35%"
"18/08/2025","1,786.37","1,783.25","1,797.37","1,774.47","565.20M","0.17%"
"15/08/2025","1,783.25","1,793.78","1,827.89","1,763.88","789.10M","-0.59%"
"14/08/2025","1,793.78","1,753.71","1,793.84","1,753.71","773.22M","2.28%"
"13/08/2025","1,753.71","1,755.25","1,768.78","1,726.89","684.71M","-0.09%"
"12/08/2025","1,755.25","1,741.90","1,756.72","1,737.42","543.59M","0.77%"
"11/08/2025","1,741.90","1,729.08","1,748.67","1,726.91","610.89M","0.74%"
"08/08/2025","1,729.08","1,734.85","1,745.88","1,707.90","655.36M","-0.33%"
"07/08/2025","1,734.85","1,723.31","1,742.12","1,715.54","644.63M","0.67%"
"06/08/2025","1,723.31","1,690.43","1,726.58","1,690.43","542.14M","1.95%"
"05/08/2025","1,690.43","1,653.22","1,730.14","1,653.22","1.15B","2.25%"
"04/08/2025","1,653.22","1,614.11","1,653.22","1,607.13","451.25M","2.42%"
"01/08/2025","1,614.11","1,615.23","1,621.64","1,584.98","506.72M","-0.07%"
"31/07/2025","1,615.23","1,630.78","1,646.75","1,602.17","643.19M","-0.95%"
"30/07/2025","1,630.78","1,621.29","1,642.67","1,606.54","616.03M","0.59%"
"29/07/2025","1,621.29","1,695.63","1,702.30","1,616.64","856.06M","-4.38%"
"28/07/2025","1,695.63","1,669.33","1,697.14","1,664.85","646.73M","1.58%"
"25/07/2025","1,669.33","1,661.23","1,675.26","1,655.36","427.37M","0.49%"
"24/07/2025","1,661.23","1,653.01","1,663.39","1,637.98","535.69M","0.50%"
"23/07/2025","1,653.01","1,655.98","1,669.14","1,650.04","491.74M","-0.18%"
