"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"22/09/2025","29,850.0","30,350.0","30,400.0","29,750.0","10.20M","-1.81%"
"19/09/2025","30,400.0","30,900.0","30,950.0","30,000.0","28.45M","-1.30%"
"18/09/2025","30,800.0","31,100.0","31,250.0","30,300.0","26.65M","-0.65%"
"17/09/2025","31,000.0","31,700.0","31,950.0","31,000.0","26.68M","-2.21%"
"16/09/2025","31,700.0","31,550.0","32,850.0","31,500.0","70.21M","0.48%"
"15/09/2025","31,550.0","31,500.0","32,200.0","30,950.0","64.13M","-0.16%"
"12/09/2025","31,600.0","32,100.0","32,300.0","31,550.0","23.14M","-2.02%"
"11/09/2025","32,250.0","32,050.0","32,350.0","30,450.0","44.39M","-0.62%"
"10/09/2025","32,450.0","32,850.0","32,950.0","31,800.0","22.04M","0.15%"
"09/09/2025","32,400.0","31,500.0","32,550.0","31,350.0","39.70M","3.85%"
"08/09/2025","31,200.0","33,300.0","33,350.0","31,200.0","58.07M","-6.87%"
"05/09/2025","33,500.0","35,500.0","35,500.0","33,500.0","37.90M","-4.01%"
"04/09/2025","34,900.0","34,700.0","35,000.0","33,800.0","44.84M","1.16%"
"03/09/2025","34,500.0","35,150.0","35,400.0","34,350.0","28.62M","-1.43%"
"29/08/2025","35,000.0","34,000.0","36,300.0","33,650.0","65.83M","2.94%"
"28/08/2025","34,000.0","33,100.0","34,200.0","32,600.0","37.02M","2.10%"
"27/08/2025","33,300.0","34,500.0","34,700.0","32,500.0","57.25M","-2.92%"
"26/08/2025","34,300.0","33,050.0","34,350.0","32,750.0","47.97M","2.39%"
"25/08/2025","33,500.0","35,950.0","36,000.0","33,450.0","67.97M","-6.82%"
"22/08/2025","35,950.0","38,000.0","38,250.0","35,950.0","75.35M","-6.99%"
"21/08/2025","38,650.0","37,000.0","38,900.0","36,700.0","51.43M","5.75%"
"20/08/2025","36,550.0","35,600.0","36,550.0","33,700.0","75.56M","6.87%"
"19/08/2025","34,200.0","32,700.0","34,200.0","32,700.0","21.64M","6.88%"
"18/08/2025","32,000.0","32,050.0","32,550.0","31,600.0","46.63M","2.89%"
"15/08/2025","31,100.0","32,800.0","32,800.0","30,900.0","64.89M","0.97%"
"14/08/2025","30,800.0","29,400.0","30,800.0","29,200.0","69.33M","6.94%"
"13/08/2025","28,800.0","29,300.0","29,550.0","28,000.0","43.49M","-2.70%"
"12/08/2025","29,600.0","29,600.0","29,800.0","29,200.0","35.53M","0.00%"
"11/08/2025","29,600.0","29,500.0","29,950.0","29,000.0","33.78M","0.17%"
"08/08/2025","29,550.0","29,500.0","29,550.0","28,000.0","44.92M","2.07%"
"07/08/2025","28,950.0","27,850.0","28,950.0","27,400.0","62.57M","6.83%"
"06/08/2025","27,100.0","26,550.0","27,100.0","26,300.0","28.38M","2.26%"
"05/08/2025","26,500.0","26,650.0","27,650.0","25,600.0","71.76M","0.38%"
"04/08/2025","26,400.0","25,250.0","26,400.0","25,250.0","38.23M","2.33%"
"01/08/2025","25,800.0","25,900.0","25,900.0","25,000.0","55.59M","0.00%"
"31/07/2025","25,800.0","25,800.0","26,100.0","25,550.0","55.20M","2.18%"
"30/07/2025","25,250.0","23,800.0","25,250.0","23,500.0","70.97M","6.99%"
"29/07/2025","23,600.0","25,100.0","25,800.0","23,550.0","83.07M","-5.98%"
"28/07/2025","25,100.0","24,350.0","25,150.0","24,000.0","57.16M","4.37%"
"25/07/2025","24,050.0","23,500.0","24,150.0","23,400.0","54.48M","2.34%"
"24/07/2025","23,500.0","23,900.0","23,900.0","23,150.0","47.16M","0.64%"
"23/07/2025","23,350.0","22,800.0","23,600.0","22,500.0","73.95M","3.78%"
"22/07/2025","22,500.0","22,150.0","22,600.0","21,800.0","41.73M","0.90%"
"21/07/2025","22,300.0","21,600.0","22,500.0","21,350.0","72.59M","4.45%"
"18/07/2025","21,350.0","20,900.0","21,650.0","20,800.0","47.95M","2.15%"
"17/07/2025","20,900.0","21,000.0","21,300.0","20,750.0","49.44M","0.24%"
"16/07/2025","20,850.0","20,750.0","21,000.0","20,500.0","31.46M","0.48%"
"15/07/2025","20,750.0","21,150.0","21,200.0","20,750.0","48.78M","-1.19%"
"14/07/2025","21,000.0","20,250.0","21,200.0","20,200.0","63.38M","4.22%"
"11/07/2025","20,150.0","20,200.0","20,350.0","19,900.0","45.18M","0.00%"
"10/07/2025","20,150.0","20,150.0","20,250.0","19,900.0","36.74M","0.50%"
"09/07/2025","20,050.0","19,800.0","20,150.0","19,700.0","66.44M","2.30%"
"08/07/2025","19,600.0","19,350.0","19,600.0","19,050.0","45.38M","1.55%"
"07/07/2025","19,300.0","18,900.0","19,350.0","18,900.0","53.67M","2.93%"
"04/07/2025","18,750.0","18,700.0","18,850.0","18,600.0","22.18M","0.54%"
"03/07/2025","18,650.0","18,550.0","18,850.0","18,500.0","47.15M","0.27%"
"02/07/2025","18,600.0","18,450.0","18,600.0","18,350.0","18.38M","0.81%"
"01/07/2025","18,450.0","18,500.0","18,600.0","18,400.0","17.06M","-0.27%"
"30/06/2025","18,500.0","18,550.0","18,650.0","18,500.0","11.55M","0.00%"
"27/06/2025","18,500.0","18,500.0","18,750.0","18,450.0","21.15M","0.82%"
"26/06/2025","18,350.0","18,500.0","18,550.0","18,350.0","10.93M","-0.27%"
"25/06/2025","18,400.0","18,600.0","18,700.0","18,400.0","17.18M","-0.81%"
"24/06/2025","18,550.0","18,550.0","18,750.0","18,450.0","42.72M","0.82%"
"23/06/2025","18,400.0","18,350.0","18,500.0","18,250.0","18.21M","-0.27%"
"20/06/2025","18,450.0","18,600.0","18,850.0","18,450.0","24.90M","-0.27%"
"19/06/2025","18,500.0","18,500.0","18,750.0","18,500.0","17.97M","0.00%"
"18/06/2025","18,500.0","18,800.0","18,950.0","18,500.0","23.61M","-1.60%"
"17/06/2025","18,800.0","18,900.0","19,000.0","18,600.0","35.02M","0.00%"
"16/06/2025","18,800.0","18,150.0","18,800.0","18,150.0","71.72M","3.58%"
"13/06/2025","18,150.0","18,050.0","18,400.0","17,900.0","29.22M","-0.27%"
"12/06/2025","18,200.0","18,050.0","18,300.0","18,050.0","21.88M","1.11%"
"11/06/2025","18,000.0","18,050.0","18,050.0","17,900.0","6.80M","0.28%"
"10/06/2025","17,950.0","17,900.0","18,200.0","17,850.0","20.28M","0.56%"
"09/06/2025","17,850.0","17,750.0","17,900.0","17,650.0","14.02M","0.28%"
"06/06/2025","17,800.0","18,100.0","18,100.0","17,800.0","20.11M","-1.66%"
"05/06/2025","18,100.0","18,200.0","18,400.0","18,050.0","12.66M","-0.82%"
"04/06/2025","18,250.0","18,300.0","18,550.0","18,200.0","41.72M","-0.27%"
"03/06/2025","18,300.0","18,100.0","18,400.0","18,000.0","22.86M","1.67%"
"02/06/2025","18,000.0","17,950.0","18,150.0","17,800.0","13.49M","0.28%"
"30/05/2025","17,950.0","18,250.0","18,300.0","17,900.0","11.86M","-1.10%"
"29/05/2025","18,150.0","18,100.0","18,550.0","18,000.0","46.41M","0.83%"
"28/05/2025","18,000.0","18,200.0","18,300.0","18,000.0","13.06M","-0.55%"
"27/05/2025","18,100.0","18,150.0","18,300.0","18,050.0","22.99M","-0.28%"
"26/05/2025","18,150.0","18,100.0","18,200.0","17,300.0","24.58M","0.28%"
"23/05/2025","18,100.0","18,250.0","18,350.0","18,100.0","14.93M","-1.09%"
