Ngày,VCB_Lần cuối,VCB_Mở,VCB_Cao,VCB_Thấp,VCB_KL,VCB_% Thay đổi,ACB_Lần cuối,ACB_Mở,ACB_Cao,ACB_Thấp,ACB_KL,ACB_% Thay đổi,BCM_Lần cuối,BCM_Mở,BCM_Cao,BCM_Thấp,BCM_KL,BCM_% Thay đổi,BID_Lần cuối,BID_Mở,BID_Cao,BID_Thấp,BID_KL,BID_% Thay đổi,CTG_Lần cuối,CTG_Mở,CTG_Cao,CTG_Thấp,CTG_KL,CTG_% Thay đổi,DGC_Lần cuối,DGC_Mở,DGC_Cao,DGC_Thấp,DGC_KL,DGC_% Thay đổi,FPT_Lần cuối,FPT_Mở,FPT_Cao,FPT_Thấp,FPT_KL,FPT_% Thay đổi,GAS_Lần cuối,GAS_Mở,GAS_Cao,GAS_Thấp,GAS_KL,GAS_% Thay đổi,GVR_Lần cuối,GVR_Mở,GVR_Cao,GVR_Thấp,GVR_KL,GVR_% Thay đổi,HDB_Lần cuối,HDB_Mở,HDB_Cao,HDB_Thấp,HDB_KL,HDB_% Thay đổi,HPG_Lần cuối,HPG_Mở,HPG_Cao,HPG_Thấp,HPG_KL,HPG_% Thay đổi,LPB_Lần cuối,LPB_Mở,LPB_Cao,LPB_Thấp,LPB_KL,LPB_% Thay đổi,MBB_Lần cuối,MBB_Mở,MBB_Cao,MBB_Thấp,MBB_KL,MBB_% Thay đổi,MSN_Lần cuối,MSN_Mở,MSN_Cao,MSN_Thấp,MSN_KL,MSN_% Thay đổi,MWG_Lần cuối,MWG_Mở,MWG_Cao,MWG_Thấp,MWG_KL,MWG_% Thay đổi,PLX_Lần cuối,PLX_Mở,PLX_Cao,PLX_Thấp,PLX_KL,PLX_% Thay đổi,SAB_Lần cuối,SAB_Mở,SAB_Cao,SAB_Thấp,SAB_KL,SAB_% Thay đổi,SHB_Lần cuối,SHB_Mở,SHB_Cao,SHB_Thấp,SHB_KL,SHB_% Thay đổi,SSB_Lần cuối,SSB_Mở,SSB_Cao,SSB_Thấp,SSB_KL,SSB_% Thay đổi,SSI_Lần cuối,SSI_Mở,SSI_Cao,SSI_Thấp,SSI_KL,SSI_% Thay đổi,STB_Lần cuối,STB_Mở,STB_Cao,STB_Thấp,STB_KL,STB_% Thay đổi,TCB_Lần cuối,TCB_Mở,TCB_Cao,TCB_Thấp,TCB_KL,TCB_% Thay đổi,TPB_Lần cuối,TPB_Mở,TPB_Cao,TPB_Thấp,TPB_KL,TPB_% Thay đổi,VHM_Lần cuối,VHM_Mở,VHM_Cao,VHM_Thấp,VHM_KL,VHM_% Thay đổi,VIB_Lần cuối,VIB_Mở,VIB_Cao,VIB_Thấp,VIB_KL,VIB_% Thay đổi,VIC_Lần cuối,VIC_Mở,VIC_Cao,VIC_Thấp,VIC_KL,VIC_% Thay đổi,VJC_Lần cuối,VJC_Mở,VJC_Cao,VJC_Thấp,VJC_KL,VJC_% Thay đổi,VN30_Lần cuối,VN30_Mở,VN30_Cao,VN30_Thấp,VN30_KL,VN30_% Thay đổi,VNM_Lần cuối,VNM_Mở,VNM_Cao,VNM_Thấp,VNM_KL,VNM_% Thay đổi,VPB_Lần cuối,VPB_Mở,VPB_Cao,VPB_Thấp,VPB_KL,VPB_% Thay đổi,VRE_Lần cuối,VRE_Mở,VRE_Cao,VRE_Thấp,VRE_KL,VRE_% Thay đổi
2020-01-02,69728.0,69267.0,70189.0,68883.0,492910.0,0.67,11323.1,11224.6,11323.1,11175.4,2360000.0,0.88,29600.0,29700.0,29700.0,29600.0,1910.0,-1.66,36500.1,35799.6,36733.5,35721.8,1100000.0,1.63,16030.2,15582.9,16216.6,15545.6,5610000.0,2.87,8195.9,8096.3,8195.9,8063.1,266250.0,1.23,21718.9,21607.7,21867.1,21496.5,2160000.0,0.51,58769.0,58209.9,59141.7,58209.9,178090.0,0.96,11300.0,10600.0,11500.0,10600.0,762980.0,6.6,10783.0,10666.6,10783.0,10530.9,5520000.0,0.91,8318.5,8145.2,8318.5,8093.2,11770000.0,2.13,3425.0,3425.0,3516.0,3335.0,923740.0,-1.33,6120.8,6034.2,6135.3,6005.3,9350000.0,1.92,57000.0,56900.0,57400.0,56300.0,518870.0,0.88,38134.0,37157.0,38134.0,37059.0,2150000.0,2.63,56500.0,56100.0,57100.0,55400.0,380760.0,0.89,224000.0,228000.0,228000.0,224000.0,28600.0,-1.75,4075.0,3953.4,4075.0,3953.4,8660000.0,3.08,14533.6,14533.6,14533.6,14533.6,2170000.0,6.95,10023.1,9859.7,10023.1,9832.4,1680000.0,1.94,10200.0,10100.0,10300.0,10000.0,2910000.0,1.49,23800.0,23550.0,23850.0,23500.0,1390000.0,1.06,12913.5,12792.3,13580.4,12731.7,214620.0,1.19,64603.0,64299.0,65060.0,64299.0,310180.0,0.12,4116.0,4070.0,4140.0,4070.0,1350000.0,1.73,102222.0,102133.0,102222.0,101333.0,495320.0,0.0,148000.0,146300.0,148000.0,146300.0,419710.0,1.23,886.88,879.02,886.88,876.87,50390.0,0.89,95719.0,94988.0,95962.0,94582.0,423240.0,1.2,7611.2,7426.0,7666.8,7426.0,4650000.0,2.75,34350.0,33800.0,34450.0,33800.0,581190.0,1.03
2020-01-03,69037.0,70265.0,70496.0,69037.0,684100.0,-0.99,11323.1,11323.1,11421.5,11273.8,2140000.0,0.0,29300.0,29300.0,29300.0,29300.0,1610.0,-1.01,36344.4,36850.3,36967.0,36344.4,759580.0,-0.43,15881.1,16216.6,16291.2,15843.8,4680000.0,-0.93,8063.1,8195.9,8195.9,8030.0,195720.0,-1.62,21348.2,21830.0,21904.2,21274.1,4940000.0,-1.71,58893.2,58769.0,59887.2,58769.0,276070.0,0.21,11700.0,11300.0,12200.0,11300.0,1120000.0,3.54,10686.0,10763.6,10763.6,10627.9,3370000.0,-0.9,8370.5,8387.8,8439.8,8335.8,21770000.0,0.63,3425.0,3425.0,3425.0,3380.0,175850.0,0.0,6135.3,6193.0,6207.4,6120.8,11410000.0,0.24,57500.0,57200.0,57700.0,56800.0,777690.0,0.88,37580.0,38134.0,38362.0,37548.0,2370000.0,-1.45,57100.0,56600.0,58100.0,56600.0,586600.0,1.06,224600.0,224000.0,227000.0,224000.0,17590.0,0.27,3953.4,4075.0,4075.0,3953.4,4530000.0,-2.98,14533.6,14533.6,14533.6,14533.6,2170000.0,6.95,9941.4,10077.5,10132.0,9886.9,1190000.0,-0.82,10200.0,10250.0,10300.0,10150.0,1980000.0,0.0,23650.0,23900.0,23950.0,23650.0,756700.0,-0.63,13034.8,12913.5,13216.7,12913.5,163570.0,0.94,64832.0,64603.0,64984.0,64375.0,512809.99999999994,0.35,4093.0,4116.0,4140.0,4070.0,1420000.0,-0.57,102489.0,102222.0,102489.0,101600.0,280060.0,0.26,148000.0,148000.0,148800.0,147500.0,350790.0,0.0,883.28,887.11,890.38,883.18,43220.0,-0.41,96043.0,95962.0,96612.0,95962.0,750470.0,0.34,7555.6,7629.7,7759.3,7537.1,3820000.0,-0.73,34600.0,34300.0,34650.0,34100.0,1270000.0,0.73
2020-01-06,67194.0,68499.0,68730.0,67194.0,1120000.0,-2.67,11076.9,11323.1,11323.1,11076.9,2610000.0,-2.17,29000.0,29000.0,29000.0,28700.0,3220.0,-1.02,35644.0,36344.4,36344.4,35644.0,999230.0,-1.93,15918.4,15806.5,16179.3,15732.0,4099999.9999999995,0.23,7897.2,8063.1,8063.1,7897.2,168980.0,-2.06,21125.9,21162.9,21348.2,21051.7,2630000.0,-1.04,60756.9,60073.6,60881.2,59763.0,543480.0,3.16,11500.0,12200.0,12200.0,11400.0,408280.0,-1.71,10472.7,10666.6,10666.6,10395.1,3380000.0,-2.0,8318.5,8318.5,8405.2,8266.5,14930000.0,-0.62,3335.0,3380.0,3380.0,3335.0,263180.0,-2.63,6048.6,6106.4,6120.8,6048.6,8560000.0,-1.41,56600.0,57500.0,57500.0,56600.0,582020.0,-1.57,37385.0,37417.0,37613.0,37157.0,1170000.0,-0.52,57300.0,58000.0,58000.0,57100.0,497990.0,0.35,223800.0,223000.0,224500.0,222500.0,35850.0,-0.36,3892.6,3953.4,4014.2,3892.6,3660000.0,-1.54,14533.6,14533.6,14533.6,14533.6,2170000.0,6.95,9914.1,9886.9,9968.6,9832.4,2280000.0,-0.27,10050.0,10100.0,10150.0,10000.0,2300000.0,-1.47,23050.0,23400.0,23400.0,23050.0,1160000.0,-2.54,12822.6,12974.2,12974.2,12731.7,185790.0,-1.63,63462.0,64375.0,64680.0,63005.0,1330000.0,-2.11,4023.0,4093.0,4093.0,4023.0,1310000.0,-1.71,101778.0,102222.0,102222.0,101689.0,339650.0,-0.69,146000.0,147800.0,147800.0,145600.0,334350.0,-1.35,872.34,882.51,882.51,872.34,36870.0,-1.24,95313.0,95800.0,95962.0,94826.0,595090.0,-0.76,7389.0,7463.0,7537.1,7389.0,4470000.0,-2.2,33650.0,34500.0,34500.0,33500.0,682790.0,-2.75
2020-01-07,67424.0,66810.0,67501.0,65581.0,1290000.0,0.34,11076.9,11076.9,11175.4,11076.9,2130000.0,0.0,28200.0,29000.0,29000.0,28200.0,4110.0,-2.76,36344.4,35644.0,36344.4,35177.0,662670.0,1.96,16179.3,16104.8,16291.2,15992.9,5370000.0,1.64,8063.1,7897.2,8096.3,7897.2,104930.0,2.1,21533.5,21237.0,21533.5,21125.9,2020000.0,1.93,60322.1,60694.8,60694.8,59825.1,180030.0,-0.72,11200.0,11600.0,11600.0,11000.0,537260.0,-2.61,10356.3,10472.7,10472.7,10317.6,2230000.0,-1.11,8214.5,8353.2,8387.8,8179.9,13540000.0,-1.25,3335.0,3335.0,3380.0,3290.0,321610.0,0.0,6063.1,6063.1,6106.4,6019.8,8810000.0,0.24,56800.0,56800.0,57300.0,56700.0,319680.0,0.35,37678.0,37385.0,37678.0,36928.0,1940000.0,0.78,56500.0,57500.0,57500.0,56400.0,290780.0,-1.4,224000.0,222600.0,224900.0,222600.0,15580.0,0.09,3892.6,3892.6,4014.2,3892.6,3120000.0,0.0,14533.6,14533.6,14533.6,14533.6,2170000.0,6.95,9941.4,9914.1,9968.6,9886.9,1090000.0,0.28,10150.0,10050.0,10150.0,10000.0,2150000.0,1.0,23200.0,23050.0,23200.0,23000.0,1040000.0,0.65,12852.9,12822.6,12883.2,12762.0,107310.0,0.24,63766.0,63158.0,64527.0,63158.0,767470.0,0.48,4023.0,4023.0,4070.0,4023.0,416960.0,0.0,101956.0,101778.0,102222.0,101600.0,206900.0,0.17,145900.0,145800.0,146000.0,145500.0,360760.0,-0.07,876.7,872.32,877.34,870.49,40280.0,0.5,96206.0,95394.0,96449.0,95394.0,551420.0,0.94,7537.1,7407.5,7537.1,7407.5,3510000.0,2.0,33950.0,33650.0,33950.0,33600.0,356780.0,0.89
2020-01-08,66810.0,66733.0,67501.0,66195.0,921630.0,-0.91,10880.0,11076.9,11076.9,10830.8,4680000.0,-1.78,28000.0,28200.0,28200.0,28000.0,8130.000000000001,-0.71,36655.7,35799.6,37278.3,35644.0,1550000.0,0.86,16142.1,16067.5,16514.9,15881.1,12730000.0,-0.23,7665.0,8063.1,8096.3,7665.0,204100.0,-4.94,21051.7,21311.2,21385.3,21051.7,4380000.0,-2.24,60260.0,61253.9,61502.4,60260.0,553780.0,-0.1,10800.0,11200.0,11200.0,10700.0,503450.0,-3.57,10356.3,10317.6,10433.9,10143.0,5040000.0,0.0,8127.9,8145.2,8197.2,8023.9,17850000.0,-1.05,3335.0,3290.0,3335.0,3290.0,437170.0,0.0,5976.5,6005.3,6063.1,5976.5,13670000.0,-1.43,56000.0,56200.0,56500.0,55600.0,737690.0,-1.41,36765.0,37157.0,37482.0,36765.0,2230000.0,-2.42,55700.0,57000.0,57000.0,55600.0,237220.0,-1.42,223200.0,224500.0,224500.0,222600.0,30610.0,-0.36,3892.6,3892.6,4014.2,3831.7,8140000.000000001,0.0,14533.6,14533.6,14533.6,14533.6,2170000.0,6.95,9669.0,9832.4,9859.7,9560.1,4440000.0,-2.74,9980.0,10050.0,10100.0,9970.0,4490000.0,-1.67,22750.0,22800.0,23050.0,22600.0,1710000.0,-1.94,12671.0,12852.9,12852.9,12671.0,169690.0,-1.42,62777.0,63158.0,63538.0,61636.0,719800.0,-1.55,3953.0,4023.0,4023.0,3953.0,1870000.0,-1.74,101600.0,101778.0,101956.0,100978.0,527520.0,-0.35,144800.0,145700.0,145800.0,144000.0,417200.0,-0.75,865.18,876.64,876.64,861.51,53100.0,-1.31,96449.0,96206.0,96449.0,95394.0,1010000.0,0.25,7444.5,7463.0,7537.1,7370.5,6530000.0,-1.23,32700.0,33400.0,33500.0,32600.0,919210.0,-3.68
2020-01-09,68115.0,67347.0,68269.0,67347.0,922130.0,1.95,11027.7,10929.2,11126.2,10929.2,2890000.0,1.36,27800.0,27800.0,28000.0,27800.0,15620.0,-0.71,38640.3,37161.6,38834.8,37044.8,1980000.0,5.41,16738.5,16291.2,16850.4,16291.2,11090000.0,3.69,7963.6,7665.0,8030.0,7598.6,210390.0,3.9,21348.2,21237.0,21385.3,21162.9,2330000.0,1.41,59141.7,59638.7,60135.7,58893.2,404670.0,-1.86,11000.0,11000.0,11100.0,10900.0,200020.0,1.85,10666.6,10356.3,10705.4,10337.0,5220000.0,3.0,8318.5,8179.9,8370.5,8179.9,12820000.0,2.35,3335.0,3290.0,3380.0,3290.0,688780.0,0.0,6077.5,6048.6,6106.4,5990.9,10830000.0,1.69,57000.0,56600.0,57200.0,56500.0,505680.0,1.79,37319.0,37124.0,37482.0,36961.0,954210.0,1.51,56200.0,55700.0,56300.0,55700.0,128139.99999999999,0.9,227000.0,222000.0,227900.0,221000.0,54030.0,1.7,3953.4,3953.4,4075.0,3892.6,7500000.0,1.56,14533.6,14533.6,14533.6,14533.6,2170000.0,6.95,9777.9,9777.9,9832.4,9723.5,1950000.0,1.13,10150.0,10100.0,10200.0,10050.0,2440000.0,1.7,23050.0,23000.0,23100.0,22850.0,2009999.9999999998,1.32,12792.3,12671.0,12913.5,12671.0,313060.0,0.96,63386.0,63462.0,63690.0,63082.0,547620.0,0.97,3976.0,3953.0,4046.0,3953.0,2029999.9999999998,0.59,101956.0,101600.0,102311.0,101511.0,308100.0,0.35,146200.0,144800.0,146200.0,144700.0,451440.0,0.97,877.76,867.27,878.43,867.27,45710.0,1.45,96287.0,96612.0,97018.0,96125.0,748960.0,-0.17,7685.3,7518.6,7703.8,7500.1,9120000.0,3.23,34000.0,33350.0,34000.0,33300.0,1050000.0,3.98
2020-01-10,68730.0,68115.0,69421.0,67501.0,1950000.0,0.9,11175.4,11076.9,11372.3,11076.9,4820000.0,1.34,27800.0,27900.0,27900.0,27500.0,9200.0,0.0,39924.4,38640.3,40469.2,38601.3,1890000.0,3.32,17558.7,16775.8,17894.2,16775.8,18980000.0,4.9,7963.6,7996.8,8096.3,7963.6,135040.0,0.0,21311.2,21311.2,21422.4,21162.9,2460000.0,-0.17,59576.6,59328.1,59638.7,59017.5,202750.0,0.74,11200.0,11000.0,11600.0,11000.0,409720.0,1.82,10899.4,10686.0,11015.7,10686.0,4940000.0,2.18,8387.8,8353.2,8509.1,8335.8,27820000.0,0.83,3471.0,3335.0,3471.0,3335.0,1100000.0,4.08,6178.6,6106.4,6250.7,6106.4,28210000.0,1.66,56500.0,57000.0,57700.0,56500.0,524930.0,-0.88,37515.0,37352.0,37678.0,37254.0,1240000.0,0.53,55700.0,56200.0,56500.0,55700.0,135340.0,-0.89,233500.0,227000.0,234500.0,227000.0,55770.0,2.86,4318.3,4014.2,4318.3,4014.2,19850000.0,9.23,14533.6,14533.6,14533.6,14533.6,2170000.0,6.95,9968.6,9805.2,9995.8,9750.7,3500000.0,1.95,10500.0,10150.0,10500.0,10150.0,10750000.0,3.45,23150.0,23000.0,23500.0,23000.0,3680000.0,0.43,13034.8,12792.3,13065.1,12792.3,220990.0,1.9,64299.0,63386.0,64603.0,62929.0,909710.0,1.44,3976.0,3999.0,4023.0,3953.0,2620000.0,0.0,102045.0,102222.0,102222.0,101956.0,179010.0,0.09,146200.0,146200.0,146300.0,145300.0,483900.0,0.0,885.52,877.85,888.09,877.7,72860.0,0.88,96531.0,96287.0,96774.0,96125.0,715540.0,0.25,7796.4,7685.3,7889.0,7685.3,8380000.000000001,1.45,33950.0,34000.0,34100.0,33550.0,543040.0,-0.15
2020-01-13,68653.0,68346.0,68960.0,68346.0,1330000.0,-0.11,11273.8,11273.8,11273.8,11175.4,3090000.0,0.88,28700.0,27800.0,28900.0,27800.0,12200.0,3.24,38990.5,38834.8,40080.0,38523.5,685120.0,-2.34,17297.7,17372.3,17894.2,17297.7,6860000.0,-1.49,7996.8,7930.4,7996.8,7930.4,207460.0,0.42,21162.9,21274.1,21348.2,21125.9,1900000.0,-0.7,59203.9,59576.6,59576.6,58831.1,447800.0,-0.63,11300.0,11300.0,11300.0,11100.0,185830.0,0.89,10821.8,10899.4,10918.8,10724.8,2230000.0,-0.71,8405.2,8387.8,8457.2,8353.2,12390000.0,0.21,3425.0,3425.0,3471.0,3425.0,439590.0,-1.33,6149.7,6193.0,6236.3,6135.3,9590000.0,-0.47,57000.0,56600.0,57100.0,56400.0,413810.0,0.88,37319.0,37319.0,37580.0,37189.0,864720.0,-0.52,55900.0,55700.0,56200.0,55600.0,166780.0,0.36,233900.0,233500.0,235300.0,233500.0,22590.0,0.17,4379.1,4318.3,4440.0,4257.5,11040000.0,1.41,14533.6,14533.6,14533.6,14533.6,2170000.0,6.95,9968.6,9914.1,10077.5,9914.1,1910000.0,0.0,10400.0,10500.0,10550.0,10300.0,3390000.0,-0.95,22950.0,23000.0,23150.0,22750.0,892360.0,-0.86,13065.1,13034.8,13125.7,12974.2,162400.0,0.23,65669.0,64527.0,66049.0,64299.0,1150000.0,2.13,4046.0,3999.0,4070.0,3976.0,1920000.0,1.76,102133.0,101956.0,102311.0,101778.0,165020.0,0.09,146500.0,146200.0,146500.0,145900.0,466570.0,0.21,881.79,885.52,885.52,881.35,32549.999999999996,-0.42,95313.0,96612.0,96612.0,95313.0,495460.0,-1.26,7629.7,7777.9,7833.4,7629.7,3450000.0,-2.14,33750.0,34000.0,34000.0,33600.0,417280.0,-0.59
2020-01-14,68653.0,68730.0,69114.0,68422.0,1280000.0,0.0,11569.2,11273.8,11569.2,11273.8,5790000.0,2.62,29000.0,28300.0,29000.0,28300.0,1900.0,1.05,38990.5,38990.5,40080.0,38834.8,946040.0,0.0,17521.4,17335.0,17745.1,17297.7,9090000.0,1.29,8162.7,8030.0,8195.9,8030.0,93700.0,2.07,21125.9,21162.9,21274.1,21125.9,1740000.0,-0.18,58955.4,59141.7,59638.7,58955.4,210350.0,-0.42,11200.0,11300.0,11500.0,11100.0,290900.0,-0.88,10860.6,10744.2,10918.8,10705.4,2100000.0,0.36,8665.1,8405.2,8682.4,8387.8,26590000.0,3.09,3425.0,3425.0,3471.0,3380.0,1080000.0,0.0,6207.4,6149.7,6250.7,6135.3,14960000.0,0.94,56600.0,57000.0,57300.0,56600.0,349410.0,-0.7,37124.0,37417.0,37417.0,37091.0,962430.0,-0.52,55500.0,55800.0,55800.0,55200.0,94530.0,-0.72,233000.0,232000.0,233900.0,232000.0,9340.0,-0.38,4379.1,4379.1,4440.0,4318.3,6930000.0,0.0,14533.6,14533.6,14533.6,14533.6,2170000.0,6.95,10023.1,9968.6,10050.3,9941.4,1810000.0,0.55,10300.0,10400.0,10450.0,10300.0,1810000.0,-0.96,22900.0,22950.0,23050.0,22900.0,1800000.0,-0.22,13156.1,13065.1,13156.1,13065.1,373170.0,0.7,65669.0,65593.0,66049.0,65517.0,470080.0,0.0,4093.0,4023.0,4093.0,4023.0,1300000.0,1.16,102222.0,102133.0,102311.0,101600.0,113790.0,0.09,146000.0,146500.0,146500.0,145800.0,486130.0,-0.34,884.77,881.77,886.83,880.58,50680.0,0.34,95637.0,95313.0,95881.0,95069.0,402220.0,0.34,7833.4,7666.8,7889.0,7648.2,5530000.0,2.67,33750.0,33850.0,34000.0,33750.0,562730.0,0.0
2020-01-15,68576.0,68806.0,68806.0,68192.0,1880000.0,-0.11,11470.8,11569.2,11569.2,11421.5,2350000.0,-0.85,28800.0,28000.0,28900.0,28000.0,5350.0,-0.69,39690.9,38834.8,39924.4,38834.8,874470.0,1.8,17596.0,17521.4,17670.5,17335.0,5630000.0,0.43,8162.7,8162.7,8162.7,8096.3,79940.0,0.0,21125.9,21125.9,21162.9,21051.7,2270000.0,0.0,58396.2,59017.5,59017.5,57837.1,253910.0,-0.95,11100.0,11200.0,11300.0,11100.0,188610.0,-0.89,10763.6,10860.6,10880.0,10724.8,1840000.0,-0.89,8717.1,8682.4,8786.4,8630.5,16350000.000000002,0.6,3425.0,3425.0,3425.0,3380.0,1260000.0,0.0,6193.0,6207.4,6236.3,6193.0,11900000.0,-0.23,56500.0,57000.0,57000.0,56000.0,373290.0,-0.18,37157.0,37124.0,37222.0,37059.0,879480.0,0.09,55400.0,55500.0,55500.0,54700.0,176290.0,-0.18,234000.0,233000.0,234500.0,233000.0,22540.0,0.43,4500.8,4379.1,4500.8,4318.3,9640000.0,2.78,14533.6,14533.6,14533.6,14533.6,2170000.0,6.95,10023.1,10050.3,10050.3,9968.6,1410000.0,0.0,10250.0,10300.0,10350.0,10200.0,2480000.0,-0.49,22900.0,22900.0,23000.0,22800.0,1930000.0,0.0,13186.4,13156.1,13186.4,12792.3,76450.0,0.23,65669.0,65821.0,65821.0,65288.0,546840.0,0.0,4046.0,4093.0,4093.0,4046.0,1380000.0,-1.14,102222.0,102222.0,102222.0,101600.0,231300.0,0.0,146000.0,145900.0,146000.0,145300.0,422930.0,0.0,885.36,884.95,886.33,882.79,35670.0,0.07,95637.0,95637.0,95719.0,95150.0,818090.0,0.0,8018.6,7833.4,8037.1,7833.4,5470000.0,2.36,33200.0,33800.0,33800.0,33200.0,549700.0,-1.63
